Haemophilus,Haemophilus_influenzae,Gram-negative_bacteria,Facultative_anaerobic_organism,Epiglottitis,Cellulitis,Meningitis,Pathogenic_bacteria,Hib_vaccine,Osteomyelitis
150,1042,1774,573,436,3845,7300,652,670,1508
151,1103,1858,555,357,3929,6924,647,565,1493
121,919,1490,444,356,3669,6428,582,512,1319
103,662,1107,362,292,3061,5163,466,349,1021
83,662,1242,368,281,2963,5377,428,348,1028
144,1058,1695,509,383,4086,7227,624,689,1536
156,1096,1767,501,366,4206,7260,568,687,1615
107,1097,1770,473,392,4097,6932,620,647,1489
115,986,1638,462,333,3810,7016,621,612,1483
118,885,1401,380,292,3423,6189,451,554,1147
86,566,976,268,192,3010,5047,354,381,866
82,652,1270,348,244,3324,5469,522,348,1014
149,977,1636,440,308,4214,6479,581,646,1305
124,889,1788,413,374,4416,16826,607,619,2284
140,857,1488,350,376,3816,23985,561,433,1309
126,1035,1714,388,389,4078,7870,553,555,1389
120,893,1385,327,334,3829,6632,483,574,1148
60,625,1014,242,306,2935,5584,369,374,914
106,666,1159,358,310,3009,5915,370,367,952
137,1049,1638,422,371,4376,7748,538,684,1383
130,1008,1662,451,380,4173,7962,563,640,1467
149,954,1672,436,337,4031,7704,653,671,1389
152,974,1746,379,352,4000,7168,589,611,1409
139,824,1389,333,336,3503,6696,488,577,1488
80,591,1156,246,306,3077,5916,514,360,1041
81,623,1155,290,278,3023,5965,477,342,953
180,990,1716,411,384,4102,7487,658,566,1564
135,924,1770,445,343,4038,7673,619,611,1506
136,974,1836,426,360,4086,7429,632,519,1553
134,843,1766,395,307,3740,7118,599,531,1474
129,829,1479,286,326,3545,6471,442,521,1304
95,596,1084,221,251,2896,5462,392,335,986
91,623,1144,275,249,2898,5589,397,314,951
132,932,1770,366,320,4274,7772,558,551,2298
105,1041,1667,341,382,4258,7565,597,622,2853
175,994,1782,340,413,4299,7707,617,597,2484
134,839,1756,349,302,3908,6995,625,620,2023
125,859,1494,306,262,3685,6316,503,487,2059
103,523,1007,208,247,2701,4756,429,282,2270
110,632,1303,269,320,3102,5634,462,334,1865
144,857,1644,349,328,4093,6750,596,574,2549
150,973,1721,353,362,3963,6805,650,587,2116
128,911,1848,313,335,4031,7255,646,580,2446
150,805,1700,284,325,4151,7037,525,539,4068
139,721,1361,229,289,4147,6383,385,449,1829
77,500,1036,196,273,3222,4866,351,292,850
93,657,1216,235,293,3252,5491,418,310,932
128,762,1441,321,295,4027,6285,503,542,1169
120,942,1779,389,309,4396,6704,527,633,1287
152,861,1743,402,293,4292,10170,789,600,1390
150,852,1728,308,295,4347,7234,586,603,1359
127,706,1499,232,301,3783,6043,420,425,1234
87,539,903,167,255,3085,5297,371,303,933
110,532,1064,204,259,3168,5334,566,303,928
145,816,1545,334,338,4595,7164,536,495,1315
123,852,1745,307,337,4550,7470,531,561,1373
111,848,1570,347,311,4082,7026,510,562,1266
154,855,1586,295,290,3616,6673,541,451,1223
125,807,1447,249,374,3529,6725,480,468,1043
89,561,1057,198,227,2982,5119,343,266,817
68,512,1073,171,250,2947,5423,369,303,792
157,893,1431,360,342,4005,6869,610,557,1124
154,961,1673,383,340,4027,6749,573,580,1248
123,855,1762,387,314,4053,7482,596,567,1285
177,1019,1815,377,303,4064,7254,660,578,1321
141,807,1465,243,313,3393,6368,526,429,1158
96,552,1077,225,232,2885,4850,417,306,913
82,700,1299,248,251,2833,5307,500,369,786
162,1069,1923,361,333,3477,6818,725,621,1138
128,1097,2134,409,326,3652,7012,712,675,1403
167,1087,2018,401,379,3467,7128,782,613,1348
163,1027,2050,436,342,3237,7884,657,606,1332
144,875,1844,299,343,2981,6233,598,524,1224
86,613,1197,217,258,2520,4965,447,330,892
76,650,1479,303,310,2818,5606,540,332,949
115,914,1897,338,300,3464,6440,651,420,1216
134,1100,2227,439,384,3736,7082,830,625,1426
178,1122,2276,459,377,3564,7582,838,613,1593
139,1106,2297,432,417,3461,7488,751,550,1423
159,1058,2351,358,385,3573,7929,732,523,1340
143,777,1504,276,317,2937,6083,564,349,1120
107,846,1879,350,331,2865,5819,802,358,1082
154,1164,2677,497,369,3705,8200,891,626,1512
155,1303,2959,526,430,4164,8906,1028,731,1606
178,1218,2962,613,426,4297,7439,1034,724,1538
204,1301,2862,595,397,4711,7567,911,682,1547
183,966,2237,460,349,4192,6449,897,590,1391
100,737,1520,324,305,3377,5216,524,283,994
102,842,1886,484,349,3212,5326,639,316,1079
161,1185,2729,697,366,4784,7450,956,553,1459
199,1244,2789,686,347,4519,7226,913,648,1525
176,1368,2951,680,413,3968,7030,878,568,1522
215,1286,2662,607,390,3757,6411,903,584,1543
192,1134,2393,530,355,3643,6237,719,617,1389
135,752,1522,314,275,2816,5020,563,347,1082
149,958,1999,480,374,2841,5511,723,417,1067
220,1432,2996,842,437,4094,7700,951,794,1670
194,1287,2778,714,419,3725,7041,980,714,1539
190,1270,2712,711,434,3602,7326,1100,707,1536
189,1353,2815,737,440,3582,7240,994,677,1568
165,1031,2330,586,355,3319,6110,649,592,1337
114,764,1493,336,283,2500,5355,562,406,1034
111,964,1851,521,341,2775,5543,781,425,1105
162,1246,2592,749,412,3594,7794,972,668,1578
213,1508,2927,750,425,3758,8134,1002,724,1600
254,1385,2961,831,400,3650,9141,1096,690,1597
207,1427,2925,804,426,3568,18418,950,694,1534
174,1098,2274,610,385,3297,22528,776,620,1401
120,825,1667,402,325,2637,16035,543,403,1012
132,930,2009,549,355,2574,16551,621,431,1164
187,1376,2660,844,398,3473,24821,883,721,1548
229,1493,3106,955,492,3832,27001,890,789,1736
229,1423,3099,881,439,3626,21851,821,706,1534
232,1424,2917,839,426,3628,18233,918,740,1716
219,1275,2225,683,408,3093,16318,713,600,1353
175,900,1735,522,323,2471,12328,612,406,1101
152,921,1798,588,372,2702,16410,1527,383,1081
231,1355,2735,907,458,3769,19155,1108,639,1635
251,1493,2684,947,452,3749,17908,1090,711,1720
241,1481,2792,828,466,3340,16459,980,663,1578
231,1307,2650,908,468,3211,14552,976,667,1666
173,1146,2328,701,434,2882,12414,758,588,1347
135,819,1530,466,321,2321,9066,509,311,940
134,1006,1885,567,366,2357,10096,719,372,1054
200,1415,2570,824,459,3400,11464,949,670,1612
206,1446,2815,917,476,3530,11502,1009,734,1738
247,1496,2711,906,543,3311,13032,994,685,1664
206,1394,2660,816,493,3301,11966,877,601,1570
168,1045,1938,509,445,2708,9383,690,475,1353
100,738,1372,365,344,2368,7894,443,320,943
137,853,1575,456,353,2201,6831,556,331,1039
180,1258,2416,804,474,3172,9413,722,655,1473
206,1318,2502,848,552,3164,9636,782,602,1535
199,1365,2442,811,505,2862,9215,780,612,1537
203,1347,2460,702,446,3196,8308,839,656,1437
187,1165,2018,610,444,3140,7569,703,561,1482
137,922,1530,395,352,2420,6157,484,364,996
137,1014,1758,558,424,2722,6890,689,412,1166
247,1609,2720,846,509,3560,8404,887,653,1578
260,1462,2754,812,494,3605,8925,933,684,1596
215,1392,6289,702,524,3136,8393,857,656,1474
243,1498,2760,728,481,3665,9425,910,614,1777
213,1379,2255,560,424,4000,8098,768,594,1417
167,999,1571,442,349,2544,6559,526,422,1088
216,995,1650,517,427,2525,6428,627,400,1125
217,1524,2483,822,517,3584,8618,847,688,1590
223,1562,2610,760,537,3739,9098,987,665,1555
253,1701,2633,734,494,3972,10376,934,750,1622
232,1570,2669,744,471,3362,10457,859,684,1597
194,1262,1961,582,388,3094,7879,731,558,1353
155,1009,1620,363,336,2399,9146,451,407,1061
143,979,1629,471,403,2588,7232,561,389,1207
285,1550,2402,697,473,3333,9787,817,613,1587
235,1434,2400,715,460,3677,9241,847,632,1516
168,1299,2168,516,458,3427,8326,701,558,1429
154,1060,1714,378,336,2727,6787,610,423,1111
151,1014,1546,330,326,2512,5835,481,342,1011
122,792,1473,324,376,2523,5482,488,303,924
144,937,1674,465,421,2693,6460,547,343,1028
249,1521,2851,713,485,3529,8136,834,649,1653
257,1867,2887,813,524,3561,9583,1309,830,1596
227,1575,2801,855,493,3373,8411,867,756,1509
238,1537,2857,729,455,3360,8546,855,752,1529
207,1357,2299,626,422,3014,7488,735,608,1310
158,994,1656,430,368,2339,6132,471,464,1037
156,1055,1848,570,388,2532,6434,571,415,1069
224,1740,2841,746,469,3372,8710,776,701,1526
239,1590,2831,834,487,3429,8521,867,724,1724
238,1886,3223,972,493,3707,8868,957,760,1870
257,1687,2945,809,443,3440,8239,857,683,1530
216,1352,2460,578,391,2888,7730,719,593,1381
155,936,1741,437,386,2423,6049,485,354,1041
122,1079,1904,534,744,2399,6162,591,491,1152
236,1601,2754,756,461,3260,7955,820,696,1573
223,1590,2834,747,569,3317,8414,866,745,1651
217,1585,2596,784,477,3160,7990,787,662,1611
205,1534,2484,699,453,2962,8465,758,616,1583
155,1172,1897,492,409,2653,6925,556,507,1276
142,843,1292,322,313,2166,5717,435,329,882
116,880,1374,338,349,2294,5626,457,322,927
213,1367,1980,547,432,3168,7391,586,575,1279
184,1181,1937,451,430,3050,7413,596,549,1273
150,1185,1903,450,408,2799,6771,530,473,1293
147,1029,1689,365,347,2952,6366,496,492,1207
135,920,1228,215,273,2505,5584,382,417,1017
96,587,914,160,276,2125,4963,315,246,763
76,639,810,193,289,2245,4863,305,227,694
92,610,11917,160,256,2376,4670,291,251,755
89,472,5615,128,221,1927,4490,249,231,698
122,773,3739,243,311,2611,5666,358,398,867
91,943,2770,237,354,2984,6234,373,402,1018
133,905,2046,253,340,3079,6599,410,391,1069
100,689,1377,205,317,2407,5362,342,277,751
128,608,1287,182,309,2393,5621,389,286,778
102,720,1356,260,293,2557,5648,394,317,802
102,672,1201,187,277,2236,5189,330,260,735
143,1136,2106,317,378,3376,7345,521,520,1185
153,1061,2037,347,413,3301,7037,509,533,1323
168,1148,1916,339,454,3166,7254,528,519,1196
91,890,1479,260,342,2632,6277,439,387,981
117,931,1669,306,376,2559,6379,503,390,946
195,1306,2137,370,408,3399,7887,668,622,1249
184,1419,2419,454,431,3567,8270,781,669,1507
185,1387,2320,438,439,3410,8057,729,718,1469
199,1586,2408,508,493,3189,8033,844,717,1415
187,1255,2077,459,386,3160,7201,672,658,1417
101,997,1419,266,326,2452,5710,515,408,1066
143,994,1701,426,303,2682,6194,579,456,1165
201,1553,2362,532,457,3307,7917,859,667,1523
195,1541,2536,551,453,3341,8248,906,795,1470
212,1624,2545,541,553,3235,7916,817,810,1552
222,1642,2479,547,444,3255,8165,875,784,1564
178,1382,2299,416,414,3145,7434,713,758,1396
110,1057,1473,372,287,2531,6446,487,434,1078
138,1128,1707,367,661,2626,6680,553,492,1084
233,1548,2466,461,473,3228,7390,772,694,1440
191,1722,2674,574,527,3446,8992,966,782,1666
240,1590,2786,611,473,3372,8381,909,751,1549
264,1731,2651,609,465,3418,8054,794,717,1597
178,1457,2339,504,501,3331,7439,743,725,1455
148,955,1548,345,348,2535,5761,458,497,1014
149,1166,2006,454,392,2605,6208,590,416,1114
227,1720,2933,632,519,3479,7929,962,704,1544
229,1684,3086,680,489,3513,8658,879,793,1649
188,1591,3229,700,450,3404,8185,1016,820,1544
242,1594,2970,672,462,3210,7997,894,737,1492
206,1433,2548,587,457,2997,6856,795,698,1398
155,1098,1822,381,399,2538,5906,554,442,1148
140,1225,2069,520,418,2626,6612,679,508,1184
224,1716,3357,745,524,3563,9123,1023,834,1553
241,1722,3452,723,520,3561,8835,1034,856,1729
209,1630,3391,692,580,3466,9334,1011,814,1697
222,1686,3455,710,565,3506,9997,963,817,1638
180,1337,2562,547,467,3180,8947,776,692,1455
123,1047,1663,377,414,2447,6018,551,462,1041
110,990,1987,516,439,2540,6221,644,509,1187
255,1625,3029,773,554,3386,8184,936,776,1552
237,1708,3284,752,539,3406,8490,1022,925,1564
234,1609,3343,793,471,3351,8276,962,801,1659
237,1511,3090,761,443,3190,9424,873,672,1604
213,1321,2513,647,415,3032,8432,697,590,1367
96,905,1544,362,355,2485,5854,537,459,991
139,1224,1884,425,449,2475,6395,748,530,1128
213,1555,2825,642,912,3240,7872,948,736,1509
223,1712,3181,767,527,3381,8727,942,807,1670
264,1932,3289,873,577,3696,8716,1049,817,1721
200,1793,3052,761,464,3388,8271,963,827,1685
194,1436,2532,579,482,3095,7845,810,727,1473
121,1194,1776,423,386,2533,6376,546,540,1122
154,1204,2152,514,812,2772,7064,767,554,1231
201,1732,3232,833,565,3401,8485,1069,780,1695
200,1799,3348,952,618,3711,8471,1188,800,1988
176,1815,3199,987,534,3360,8279,1171,794,1886
237,1643,3338,917,495,3395,8518,1167,802,1764
151,1423,2712,694,422,3125,7433,891,655,1406
136,1065,1808,565,406,2627,6139,599,469,1178
124,1274,2145,634,420,2822,6677,926,494,1426
214,1981,3016,1039,522,3699,8353,1203,821,1702
218,1874,3178,1021,554,3575,8016,1226,786,1748
209,1830,3278,996,496,3548,8086,1314,779,1831
241,1912,3223,998,578,3626,8890,1063,739,1853
191,1469,2457,689,434,3201,7396,887,667,1581
129,1029,1567,476,390,2695,5795,570,447,1246
144,1196,1846,577,378,2721,6006,652,468,1195
233,1798,3452,879,450,3889,8174,1044,835,1730
231,1736,2916,926,523,3704,8329,1062,827,1823
194,1641,2719,900,544,3448,7998,1002,750,1660
291,1766,2814,782,483,3382,7944,1051,751,1728
185,1409,2192,585,427,3179,6951,809,871,1536
112,1017,1598,413,401,2824,5984,521,492,1272
131,1128,2006,583,388,2864,6383,681,498,1260
198,1689,2694,834,476,3891,8201,1049,789,1847
198,1697,2981,871,518,3786,8531,1041,794,1885
217,1758,3025,838,501,3773,10969,970,888,1885
196,1564,2822,839,518,3714,11848,1040,778,1820
186,1461,2025,586,439,3388,11649,741,684,1501
106,1038,1493,410,488,4083,13853,475,457,1691
141,1154,1843,595,539,4479,15855,579,466,1903
212,1749,2506,744,634,5705,25925,848,788,2908
190,1751,2601,764,666,5457,16209,788,810,2678
226,1724,2426,715,683,5315,16046,753,706,2688
190,1705,2349,673,559,5212,16337,677,704,2556
141,1187,1778,450,557,4504,13408,494,610,2028
111,929,1317,356,463,3686,12213,414,431,1492
123,1029,1477,428,481,4081,11697,436,392,1630
169,1513,2262,601,567,5245,14497,591,675,2443
192,1632,2627,796,545,5515,14029,744,751,2827
196,1878,2774,859,550,5207,13224,821,786,2924
213,1813,2660,789,627,4660,13426,750,796,2596
164,1583,2093,573,512,4154,12077,512,674,2122
128,1231,1485,447,415,3384,10786,414,459,1549
150,1101,1796,577,473,6186,10229,543,478,1858
245,1740,2890,824,606,5843,12919,807,761,2652
222,1766,3143,921,668,4950,13307,899,819,2701
231,1647,2717,792,569,4709,12445,810,794,2573
202,1737,2834,726,565,4689,13780,749,794,2495
208,1480,2255,572,517,4248,12651,802,614,2219
145,1004,1433,437,375,3411,18325,565,437,1502
154,1108,1754,480,439,3642,15337,657,477,1731
223,1727,2629,817,601,5026,20534,930,780,2577
263,1884,2784,837,651,5068,17306,1155,849,2813
267,1751,2697,747,639,4737,18788,856,794,2675
226,1610,2605,699,526,4412,16672,817,752,2564
227,1341,2390,531,445,4344,13593,695,601,2080
130,1092,1561,434,439,3289,9932,464,404,1477
154,1122,1949,572,497,4241,11778,625,466,1823
214,1746,2770,753,644,4892,14299,833,778,2575
225,1801,2742,859,558,4678,14168,914,792,2561
205,1809,2802,810,613,4912,14824,926,851,2689
239,1793,2882,748,655,4539,14823,833,754,2535
165,1471,2189,555,512,4844,12545,631,639,2100
164,1041,1572,398,417,3329,9800,450,336,1593
151,1222,2001,478,509,3745,10516,582,369,1772
216,1847,2908,830,636,5259,13826,923,784,2789
248,1675,2822,747,631,4942,14478,954,767,2406
206,1575,2528,670,562,4605,12315,733,760,2422
231,1608,2562,698,622,4918,13169,874,711,2524
179,1279,2063,497,547,4815,14051,700,617,2143
149,975,1567,389,450,3627,12338,495,434,1512
140,1014,1773,454,555,3700,10971,533,404,1563
178,1480,2575,636,614,4796,13682,837,567,2234
196,1624,2653,713,596,5199,15342,775,659,2435
207,1627,2519,633,634,5509,18910,784,675,2466
195,1445,2384,589,560,4907,15883,832,667,2487
187,1307,2152,577,467,4741,13705,591,579,2334
128,860,1434,373,370,3626,9803,427,331,1497
167,1108,1720,462,494,3856,9668,502,395,1656
211,1788,2336,607,663,5377,12423,970,652,2488
215,1677,2333,781,605,5235,11016,764,648,2581
216,1519,2250,621,570,5004,9663,838,723,2673
232,1483,2363,604,806,5054,9645,768,587,2535
155,1136,1887,461,499,4290,7990,593,448,2083
122,862,1328,329,339,3369,6438,422,364,1462
109,899,1528,381,475,3499,6937,513,337,1640
172,1222,2049,503,533,4597,9697,777,522,2157
197,1348,2257,605,609,5169,10174,876,673,2498
209,1357,2280,553,521,5271,9357,862,671,2503
170,1377,2091,447,557,4799,9103,794,638,2409
158,1267,1690,411,531,4417,8739,645,547,2108
100,895,1263,281,417,3402,6340,438,367,1372
124,783,1211,349,380,3517,7852,467,331,1410
137,1073,1581,464,452,4408,9147,604,497,1670
184,1387,2153,598,543,5552,9133,700,693,2213
175,1273,1978,590,486,5370,9468,670,651,2435
150,1309,2108,578,477,5442,9099,704,662,2322
170,1116,1724,461,400,5168,8193,567,526,1971
114,828,1244,385,362,4222,6101,420,334,1489
112,1028,1461,422,528,4646,6584,455,432,1474
170,1395,2026,598,548,6262,10092,616,619,2338
202,1253,2065,571,521,6228,10059,648,702,2291
176,1229,2073,545,515,6689,9957,740,730,2293
173,1236,2065,551,525,6559,8917,677,571,2379
168,1171,1663,459,482,6081,7671,511,588,2016
126,754,1245,343,344,5065,6099,364,357,1416
137,854,1448,437,394,5086,6354,469,420,1456
165,1218,1909,632,545,7619,8716,746,703,2365
166,1301,1937,550,553,7654,8799,694,715,3091
159,1241,2080,634,503,7809,9634,758,726,2746
141,1261,1940,575,531,7563,8441,675,628,2695
167,1111,1746,457,476,6809,7764,485,511,2275
95,760,1178,348,412,5183,6110,387,369,1432
106,771,1357,383,380,5694,5923,491,367,1387
171,1242,2040,595,509,8661,8423,728,707,2177
192,1213,2022,563,523,8252,9094,692,682,2410
158,1182,2029,597,525,7382,8844,654,650,2385
150,1134,2116,528,525,6886,8596,633,574,2103
130,941,1575,363,420,6164,7601,503,530,1937
84,650,1091,282,381,4842,5845,410,339,1323
80,744,1289,332,382,4700,6491,476,404,1391
159,1083,1762,522,502,6914,8325,604,632,2067
176,1227,2069,477,500,7075,8803,732,695,2283
174,1138,1872,509,484,6686,8567,646,651,2130
140,1210,1933,532,511,6533,8614,641,685,2332
126,798,1370,368,444,6417,7071,532,501,1755
66,612,1047,239,334,4926,5447,436,417,1212
85,727,1155,330,404,5367,5495,456,346,1200
172,1052,1659,443,441,7944,7414,520,607,2039
142,1123,1667,468,469,7165,8082,688,602,2100
124,1166,1644,430,485,5420,7515,557,614,1988
125,854,1283,319,419,4449,6185,497,353,1610
104,806,1163,323,474,4475,5907,399,441,1443
71,635,1023,242,381,3804,5278,381,329,1086
80,690,1276,333,421,4036,5664,443,382,1304
132,1103,1585,424,456,5894,7688,577,679,1970
146,1055,1620,584,518,6250,8475,582,690,2121
145,908,1594,489,509,5329,7678,550,621,2135
139,911,1573,448,405,5667,8135,504,639,2008
133,909,1272,334,398,4721,7310,448,510,1825
65,559,946,254,345,3842,5615,346,346,1160
82,643,973,291,328,3839,5810,369,287,1173
110,988,1524,451,481,5891,8423,513,621,1869
140,1014,1561,434,464,5879,12298,505,673,2023
127,1010,1509,448,487,5376,9232,544,768,1943
128,1021,1588,420,447,5529,8384,595,678,1901
93,800,1277,358,389,4783,7115,390,505,1641
83,570,910,236,378,3888,5759,359,345,1233
83,624,1074,353,541,4028,6927,365,390,1314
146,961,1549,423,465,5470,8040,547,590,1812
0,0,0,0,0,0,0,0,0,0
58,373,578,167,196,2034,3638,177,273,836
131,871,1374,370,560,4395,7215,443,529,1678
103,843,1256,302,424,4132,6611,390,483,1531
78,547,843,288,330,3369,6228,340,318,1163
79,571,900,247,368,3418,6080,417,281,1128
108,862,1371,355,438,4584,7610,493,508,1756
114,847,1400,391,392,4636,8195,511,558,1839
141,826,1331,330,430,4359,7967,491,522,1885
114,757,1326,328,349,4239,6930,776,526,1730
114,781,1248,299,321,4149,6318,493,408,1577
60,484,865,234,320,3273,5154,322,333,1113
77,546,950,247,315,3331,5010,351,298,1072
98,751,1358,338,358,4397,6990,457,506,1574
98,865,1402,338,435,4193,7047,492,518,1683
117,836,1507,350,397,4373,7319,517,512,1857
115,721,1298,302,391,4538,7101,468,466,1566
97,889,1187,236,324,3946,6445,400,454,1545
68,501,818,174,278,3204,5112,313,266,1034
78,519,992,211,347,3600,5298,355,278,1041
125,796,1363,332,399,4442,7263,446,478,1735
128,825,1520,343,375,4530,7620,515,511,1827
123,849,1462,316,410,4586,7346,440,533,1779
125,790,1358,269,365,4121,6711,463,486,1681
78,697,1266,304,339,3928,6577,428,501,1495
83,471,873,195,347,2879,5215,313,382,1137
73,545,1011,253,315,2825,4871,338,331,1149
115,835,1352,308,381,4079,6973,533,551,1690
123,735,1345,287,425,3557,5771,470,486,1598
123,748,1352,283,415,3737,5993,465,482,1655
120,811,1422,303,381,3662,5876,449,429,1508
108,688,1359,273,409,3419,5131,397,398,1474
65,466,873,184,350,2664,3827,304,257,1043
75,505,971,206,302,2578,4107,318,299,1031
119,744,1460,356,388,3395,5528,448,421,1848
129,822,1565,396,407,3497,5741,498,513,1850
132,891,1568,352,370,3324,5555,553,484,1867
139,912,1566,332,341,3410,5400,472,468,1638
115,774,1460,277,374,3210,5147,397,414,1402
51,424,1033,234,329,2333,3951,291,274,959
61,495,1086,243,503,2424,3750,348,234,1005
104,783,1340,318,370,3151,4480,444,360,1218
151,966,1618,418,404,3473,5580,510,533,1545
135,870,1846,446,428,3479,5977,554,478,1801
140,892,1729,364,438,3222,5608,570,521,1724
113,819,1503,311,382,2963,5247,498,396,1403
79,581,1089,256,334,2393,4186,384,258,1081
117,677,1332,312,344,2822,4234,542,307,1095
128,966,1925,473,403,3612,6172,687,457,1646
141,986,2192,472,429,3381,6093,615,464,1864
132,981,2135,507,428,3239,6057,619,472,1784
130,1023,2183,504,452,3378,6227,612,530,1655
111,909,1812,392,428,3143,5737,533,418,1568
99,597,1158,308,311,2465,4251,443,266,1063
109,685,1466,433,380,2619,4379,515,312,1100
160,995,2169,584,469,3440,6054,658,536,1944
170,1003,2169,524,486,3325,6971,716,517,1819
146,1051,2277,523,495,3297,6628,643,537,1976
183,1016,2029,509,412,2997,5943,660,445,1798
151,917,1876,490,410,2547,5564,543,435,1616
90,601,1240,322,346,2368,4141,427,234,1167
107,715,1545,489,363,2218,4357,480,281,1232
176,949,2362,583,502,2918,5941,622,467,1716
183,1063,2307,675,447,2959,6114,743,543,1856
147,1011,2357,672,462,2753,6234,604,532,1916
140,1080,2244,592,471,2579,5752,599,468,1824
146,1000,1752,427,356,2620,5517,518,424,1553
83,636,1197,354,309,2120,4152,405,263,1024
109,730,1576,521,434,2223,4352,473,293,1189
146,1130,2330,657,469,3179,6138,702,528,1827
178,1691,2571,770,499,3367,7220,774,532,1884
177,1175,2427,766,464,2961,6947,832,476,1855
197,1137,2282,686,436,2859,6592,718,459,1812
143,933,1891,522,400,2692,6344,612,423,1284
118,730,1373,401,352,2082,5019,397,199,1042
121,812,1707,596,393,2014,5046,542,269,969
173,1182,2397,797,482,2703,6616,678,449,1307
196,1156,2560,835,443,2882,6890,769,458,1495
152,1135,2487,801,423,2671,6671,698,420,1634
181,1080,2276,790,494,2826,6817,644,420,1933
132,1051,1797,542,342,2459,6039,580,381,1704
96,682,1328,402,352,2062,4401,391,215,1034
108,756,1448,514,441,2120,4751,452,239,1050
148,1104,2267,753,453,2623,6096,608,411,1309
157,1171,2132,824,469,2590,6664,698,411,1449
177,1230,2191,930,463,2484,6713,711,494,1510
182,1080,2182,808,443,2581,6676,664,412,1501
138,966,1801,566,434,2345,6107,624,384,1326
149,742,1323,436,370,1871,4778,497,268,902
137,842,1613,540,408,1913,4630,495,301,966
157,1206,2200,815,570,2560,6585,627,395,1516
189,1154,2322,774,531,2544,7333,717,433,1643
170,1234,4520,776,489,2550,6663,713,429,1556
198,1075,2883,678,486,2564,6517,605,409,1502
165,1066,2160,628,453,2195,5918,486,360,1330
111,751,1445,448,356,1940,4552,382,252,1014
120,970,1722,479,398,1924,4574,440,243,1156
163,1160,2182,715,463,2609,6156,629,434,1534
184,1306,2542,814,497,2617,6691,664,484,1640
219,1224,2175,737,455,2459,6192,750,421,1565
159,1231,2128,647,446,2271,5671,623,333,1755
161,944,1748,506,384,2135,5247,463,296,1275
84,730,1360,395,336,1779,4353,405,226,1014
103,774,1437,503,384,1801,4580,479,223,1198
174,1182,2225,734,522,2498,6438,712,410,1489
197,1193,2229,777,457,2504,6405,747,430,1518
164,1215,2519,693,508,2421,6883,796,530,1524
167,1340,2516,698,499,2490,6742,738,364,1582
161,979,1871,622,416,2140,6256,592,390,1291
103,808,1417,364,416,1977,4449,405,271,926
89,913,1846,433,527,2133,4792,540,303,1055
185,1396,2471,697,623,3025,6991,673,497,1560
169,1434,2564,712,646,2901,7755,684,527,1754
190,1463,2590,700,623,2920,7479,708,579,1718
162,1291,2533,645,577,2843,7209,698,509,1637
154,1216,2234,527,549,2613,7893,560,458,1567
117,993,1688,355,418,2335,19057,468,386,1216
128,1098,1767,464,516,2523,18170,535,371,1255
213,1490,2429,731,641,3157,17933,648,521,1576
205,1465,2446,724,542,2794,20374,664,578,1655
169,1364,2355,673,457,2509,10398,604,522,1646
208,1260,2462,697,518,2396,10304,595,518,1563
159,1151,2159,497,459,2201,11237,468,505,1474
109,814,1444,361,381,1807,8144,340,332,1111
129,942,1617,368,427,1834,5851,425,296,1145
167,1317,2191,597,437,2413,8243,611,494,1739
196,1084,2144,623,458,2436,7579,610,491,1410
145,1084,1959,501,434,2368,7016,500,420,1254
117,884,1647,384,355,1981,5607,435,322,986
122,751,1313,300,354,1903,4826,331,317,958
108,718,1306,332,325,1777,4825,332,277,931
128,833,1477,422,372,1718,5475,415,273,985
181,1298,2226,694,466,2392,7372,658,510,1309
164,1277,2427,706,461,2668,11232,735,430,1397
170,1440,2552,774,494,2969,17006,845,524,1516
189,1292,2588,749,581,2676,12158,881,512,1461
166,1123,2045,611,449,2235,8455,801,387,1313
108,802,1537,444,362,2035,5762,666,285,1010
153,974,1819,494,403,2019,5819,732,287,1037
176,1414,2433,777,531,2596,9319,791,475,1443
175,1380,2456,733,460,2651,10490,822,442,1535
182,1163,2379,713,471,2460,10464,747,450,1419
144,1073,1854,517,472,2242,7073,571,430,1425
145,838,1530,384,371,2059,5951,453,319,1197
90,656,967,220,3121,1553,4454,353,316,798
98,679,1202,269,385,1727,4153,366,242,883
137,970,1731,379,446,2203,5583,462,341,1203
133,983,1630,373,470,2261,5343,457,388,1172
138,832,1509,342,412,2190,5025,487,324,1160
117,820,1273,328,396,2188,4633,402,322,1116
93,859,1059,223,311,1897,4333,290,295,975
80,545,671,152,263,1547,3164,204,188,732
85,482,681,145,302,1612,3025,210,171,841
120,643,839,155,301,1867,3681,266,214,765
71,491,676,154,274,1543,3459,222,192,692
65,361,523,117,236,1307,2649,197,127,544
83,473,726,177,290,1799,3280,249,243,770
102,583,785,155,307,2001,3869,227,277,879
65,425,688,107,267,1685,3434,221,202,669
76,503,695,139,257,1685,3737,205,200,699
100,618,975,180,295,2013,4199,252,293,970
96,562,847,142,283,1763,4043,220,286,834
58,400,673,141,223,1464,3193,234,147,610
104,710,973,209,384,2093,4150,274,337,959
121,784,1045,225,338,2140,4237,306,316,1008
90,548,809,206,347,1712,3475,253,282,742
17,109,136,36,83,413,764,44,45,172
0,0,0,0,0,0,0,0,0,0
160,1008,1584,353,659,2639,5752,531,488,1408
138,1054,1660,476,528,2559,5720,518,500,1501
152,969,1642,409,455,2374,5247,476,460,1459
