"Malaria","Malaria_vaccine","Protozoa","Plasmodium","Fever","Jaundice","Epileptic_seizure","Anopheles","Plasmodium_falciparum","Sepsis"
"6549.0","285.0","2253.0","907.0","5919.0","4557.0","1877.0","323.0","709.0","4337.0"
"6667.0","257.0","2117.0","960.0","5792.0","4592.0","2003.0","313.0","705.0","4571.0"
"7503.0","259.0","2254.0","1039.0","6013.0","4804.0","1969.0","406.0","609.0","4557.0"
"6693.0","230.0","1996.0","910.0","5600.0","4954.0","1709.0","349.0","569.0","4150.0"
"5982.0","186.0","1686.0","669.0","4806.0","4317.0","1521.0","315.0","520.0","3577.0"
"3936.0","142.0","1136.0","482.0","3954.0","3488.0","1382.0","248.0","371.0","2954.0"
"4729.0","164.0","1475.0","645.0","4852.0","3966.0","1622.0","228.0","475.0","3430.0"
"6420.0","254.0","1976.0","797.0","5857.0","5037.0","1818.0","365.0","714.0","4432.0"
"6678.0","215.0","1947.0","849.0","5607.0","4849.0","1832.0","402.0","669.0","4467.0"
"6307.0","240.0","1943.0","829.0","5388.0","4770.0","1765.0","290.0","643.0","4210.0"
"7572.0","260.0","2006.0","983.0","5197.0","4780.0","1871.0","385.0","656.0","4433.0"
"5716.0","189.0","1631.0","1067.0","4593.0","4315.0","1746.0","361.0","610.0","3695.0"
"4411.0","155.0","1110.0","435.0","3837.0","3990.0","1429.0","242.0","360.0","2922.0"
"5319.0","180.0","1577.0","604.0","4456.0","4382.0","1749.0","275.0","486.0","3586.0"
"7517.0","255.0","2177.0","986.0","5489.0","4748.0","1906.0","577.0","832.0","4544.0"
"6419.0","274.0","2279.0","917.0","5171.0","4654.0","1936.0","380.0","706.0","4389.0"
"7021.0","248.0","2345.0","967.0","5344.0","4996.0","1960.0","357.0","727.0","4687.0"
"6700.0","254.0","2058.0","954.0","4747.0","4583.0","1922.0","424.0","653.0","4381.0"
"5754.0","176.0","1693.0","747.0","4399.0","4140.0","1650.0","317.0","560.0","3735.0"
"4230.0","144.0","1117.0","483.0","3671.0","3391.0","1408.0","241.0","426.0","2940.0"
"5169.0","195.0","1529.0","617.0","4090.0","3905.0","1539.0","295.0","516.0","3428.0"
"7719.0","282.0","2055.0","886.0","5420.0","4936.0","2017.0","339.0","645.0","4296.0"
"6992.0","269.0","2043.0","858.0","5076.0","4556.0","1845.0","374.0","678.0","4414.0"
"7082.0","218.0","2085.0","939.0","4927.0","4620.0","1813.0","353.0","736.0","4326.0"
"6886.0","272.0","1954.0","854.0","4973.0","4923.0","1843.0","414.0","697.0","4382.0"
"6048.0","180.0","1422.0","633.0","4195.0","4075.0","1546.0","331.0","660.0","3425.0"
"4482.0","118.0","1068.0","433.0","3658.0","3348.0","1190.0","231.0","394.0","2797.0"
"5175.0","155.0","1404.0","541.0","4112.0","3745.0","1473.0","336.0","458.0","3112.0"
"6714.0","242.0","1741.0","712.0","4807.0","4767.0","1776.0","325.0","806.0","4159.0"
"6712.0","264.0","1830.0","770.0","4913.0","5325.0","1673.0","375.0","691.0","4173.0"
"6505.0","239.0","1842.0","759.0","4768.0","5059.0","1766.0","392.0","650.0","4457.0"
"6052.0","246.0","1747.0","765.0","4403.0","4671.0","1661.0","311.0","563.0","4049.0"
"7727.0","252.0","1391.0","575.0","3909.0","3870.0","1507.0","267.0","479.0","3627.0"
"4744.0","146.0","1012.0","366.0","3295.0","3505.0","1272.0","222.0","348.0","2950.0"
"4542.0","164.0","1127.0","496.0","3672.0","3555.0","1372.0","269.0","434.0","3023.0"
"6377.0","233.0","1637.0","751.0","4881.0","4676.0","1706.0","321.0","559.0","4196.0"
"6482.0","235.0","1718.0","777.0","4537.0","4854.0","1872.0","340.0","686.0","3980.0"
"6905.0","252.0","1828.0","816.0","4718.0","5010.0","1802.0","322.0","659.0","4188.0"
"6377.0","213.0","1744.0","705.0","4575.0","4910.0","1673.0","367.0","630.0","4478.0"
"5119.0","202.0","1511.0","641.0","3736.0","4032.0","1672.0","307.0","490.0","3849.0"
"3815.0","147.0","965.0","382.0","3189.0","3473.0","1379.0","197.0","342.0","2887.0"
"4266.0","176.0","1230.0","519.0","3375.0","3854.0","1516.0","249.0","472.0","3125.0"
"7028.0","350.0","1715.0","799.0","4601.0","5046.0","1829.0","341.0","730.0","4317.0"
"7249.0","315.0","1679.0","809.0","4508.0","4787.0","1769.0","324.0","675.0","4350.0"
"6388.0","236.0","1668.0","775.0","4592.0","4579.0","1744.0","333.0","572.0","4605.0"
"6415.0","252.0","1757.0","886.0","4244.0","4640.0","1796.0","401.0","627.0","4219.0"
"5099.0","206.0","1354.0","532.0","3509.0","3907.0","1707.0","256.0","514.0","3516.0"
"3571.0","125.0","867.0","351.0","2952.0","3387.0","1238.0","223.0","302.0","3013.0"
"4783.0","179.0","1267.0","484.0","3688.0","4070.0","1404.0","206.0","433.0","3313.0"
"6522.0","235.0","1699.0","743.0","4482.0","5284.0","1671.0","357.0","574.0","4109.0"
"6602.0","254.0","1836.0","834.0","4343.0","4879.0","1694.0","374.0","597.0","4328.0"
"6431.0","289.0","1769.0","850.0","4245.0","4638.0","1665.0","321.0","592.0","4479.0"
"6319.0","243.0","1531.0","742.0","4027.0","4924.0","1636.0","327.0","621.0","4328.0"
"5125.0","199.0","1467.0","642.0","3608.0","4351.0","1637.0","289.0","474.0","3873.0"
"3587.0","115.0","957.0","379.0","2961.0","3398.0","1134.0","220.0","362.0","2763.0"
"4378.0","151.0","1132.0","493.0","3400.0","4335.0","1507.0","295.0","413.0","3556.0"
"6476.0","218.0","1946.0","783.0","4469.0","5296.0","1854.0","373.0","572.0","5033.0"
"6526.0","256.0","1866.0","805.0","4566.0","4847.0","1736.0","393.0","707.0","4221.0"
"6170.0","185.0","1903.0","780.0","4572.0","4877.0","1766.0","315.0","616.0","4310.0"
"6021.0","246.0","1843.0","750.0","4310.0","4853.0","1847.0","378.0","578.0","4239.0"
"4899.0","197.0","1569.0","669.0","3491.0","4292.0","1522.0","304.0","511.0","3772.0"
"3983.0","260.0","1008.0","383.0","2925.0","3557.0","1430.0","228.0","386.0","3269.0"
"4588.0","259.0","1198.0","472.0","3211.0","3798.0","1436.0","269.0","401.0","3245.0"
"6565.0","280.0","1646.0","821.0","4185.0","4755.0","1782.0","394.0","627.0","4366.0"
"6290.0","320.0","1585.0","1320.0","4144.0","4538.0","1787.0","341.0","629.0","4323.0"
"6255.0","242.0","1689.0","1807.0","4013.0","5142.0","1801.0","343.0","704.0","4413.0"
"5643.0","211.0","1387.0","1228.0","3823.0","4447.0","1664.0","330.0","652.0","3893.0"
"4482.0","188.0","1076.0","630.0","3127.0","3744.0","2207.0","267.0","480.0","3424.0"
"4061.0","223.0","953.0","499.0","2927.0","3515.0","2018.0","205.0","378.0","3051.0"
"4224.0","184.0","993.0","476.0","2967.0","3522.0","1603.0","307.0","402.0","2931.0"
"7281.0","293.0","1562.0","816.0","3842.0","4472.0","1885.0","410.0","654.0","3873.0"
"7179.0","329.0","1823.0","861.0","4232.0","4974.0","1925.0","443.0","686.0","3936.0"
"6438.0","258.0","1841.0","834.0","3988.0","4767.0","1841.0","430.0","706.0","3961.0"
"6849.0","249.0","1817.0","873.0","3920.0","4802.0","1752.0","363.0","799.0","4072.0"
"5077.0","181.0","1362.0","577.0","2975.0","4276.0","1456.0","256.0","547.0","3244.0"
"3916.0","136.0","1106.0","381.0","2685.0","3368.0","1319.0","200.0","360.0","2727.0"
"4596.0","195.0","1252.0","547.0","3182.0","3710.0","1347.0","299.0","494.0","2954.0"
"6237.0","262.0","1696.0","767.0","3629.0","4412.0","1641.0","364.0","652.0","3671.0"
"7087.0","287.0","1911.0","947.0","3790.0","4889.0","1674.0","375.0","753.0","3838.0"
"6826.0","255.0","1976.0","894.0","3901.0","4767.0","1738.0","372.0","786.0","3979.0"
"6419.0","233.0","2050.0","969.0","3633.0","4621.0","1748.0","395.0","661.0","3930.0"
"5746.0","196.0","1636.0","738.0","3341.0","4350.0","1670.0","391.0","612.0","3558.0"
"4139.0","145.0","1037.0","444.0","2775.0","3589.0","1284.0","245.0","433.0","2802.0"
"5020.0","171.0","1353.0","589.0","3039.0","3661.0","1432.0","321.0","481.0","3061.0"
"6700.0","256.0","1866.0","836.0","3700.0","4854.0","1683.0","415.0","680.0","4691.0"
"6841.0","266.0","1975.0","882.0","3733.0","4863.0","1697.0","419.0","608.0","4249.0"
"6753.0","251.0","1847.0","916.0","3761.0","4833.0","1773.0","394.0","614.0","4191.0"
"6625.0","230.0","1701.0","730.0","3698.0","4516.0","1663.0","397.0","644.0","4116.0"
"5805.0","180.0","1497.0","664.0","3062.0","3947.0","1532.0","283.0","505.0","4144.0"
"3870.0","140.0","970.0","512.0","2712.0","3570.0","1289.0","236.0","410.0","3811.0"
"5113.0","158.0","1317.0","539.0","3350.0","3907.0","1448.0","306.0","468.0","3598.0"
"6823.0","207.0","1750.0","760.0","3783.0","4789.0","1674.0","427.0","669.0","4522.0"
"7401.0","244.0","1835.0","802.0","3669.0","4642.0","1664.0","379.0","694.0","4387.0"
"6804.0","226.0","1700.0","709.0","3670.0","4737.0","1784.0","373.0","584.0","4414.0"
"6591.0","219.0","1811.0","754.0","3682.0","4505.0","1632.0","372.0","544.0","4316.0"
"5626.0","203.0","1443.0","637.0","3168.0","4177.0","1519.0","339.0","486.0","4247.0"
"4008.0","124.0","993.0","408.0","2509.0","3249.0","1162.0","251.0","365.0","3074.0"
"4692.0","142.0","1234.0","527.0","3063.0","3759.0","1455.0","303.0","475.0","4770.0"
"6871.0","232.0","1838.0","660.0","3764.0","4842.0","1832.0","458.0","567.0","8506.0"
"6656.0","206.0","1705.0","688.0","3602.0","4419.0","1606.0","390.0","564.0","6466.0"
"6398.0","223.0","1657.0","656.0","3556.0","4311.0","1605.0","356.0","553.0","4732.0"
"6365.0","211.0","1522.0","678.0","3363.0","4657.0","1595.0","376.0","588.0","4459.0"
"5033.0","146.0","1263.0","499.0","2839.0","3805.0","1371.0","242.0","443.0","11807.0"
"3684.0","89.0","861.0","292.0","2573.0","3190.0","1262.0","207.0","320.0","9758.0"
"4711.0","123.0","1070.0","443.0","3492.0","3642.0","1231.0","258.0","335.0","4786.0"
"6152.0","160.0","1357.0","537.0","4049.0","4084.0","1362.0","328.0","527.0","4206.0"
"7009.0","242.0","1603.0","634.0","4533.0","4734.0","1817.0","378.0","610.0","5021.0"
"6347.0","234.0","1541.0","580.0","4354.0","4330.0","1635.0","345.0","594.0","4573.0"
"5985.0","193.0","1562.0","587.0","4042.0","4123.0","1469.0","348.0","540.0","4110.0"
"4631.0","181.0","1300.0","540.0","3299.0","3892.0","1467.0","281.0","439.0","4000.0"
"3815.0","129.0","1028.0","331.0","2731.0","3408.0","1339.0","258.0","347.0","3160.0"
"4211.0","156.0","1129.0","399.0","2898.0","3385.0","1304.0","274.0","382.0","3263.0"
"5624.0","227.0","1759.0","575.0","3679.0","4101.0","1528.0","372.0","470.0","4099.0"
"5777.0","199.0","1643.0","569.0","3523.0","5142.0","1504.0","378.0","562.0","4105.0"
"5603.0","237.0","1544.0","547.0","3839.0","4272.0","1560.0","345.0","545.0","4226.0"
"5459.0","234.0","1447.0","537.0","3197.0","4185.0","1513.0","326.0","540.0","4097.0"
"4722.0","177.0","1255.0","439.0","3000.0","4076.0","1511.0","296.0","429.0","3616.0"
"3645.0","139.0","967.0","322.0","2649.0","3242.0","1238.0","207.0","329.0","3121.0"
"4061.0","142.0","1183.0","355.0","2992.0","3349.0","1238.0","253.0","347.0","3209.0"
"5761.0","237.0","1527.0","477.0","3730.0","4412.0","1560.0","328.0","460.0","4325.0"
