"Hepatitis_A","Hepatitis_B","Hepatitis_C","Viral_hepatitis","World_Hepatitis_Day","Jaundice","Hepatitis","Picornavirales","Hepatocellular_carcinoma","Hepatitis_C_virus"
"2524.0","4694.0","6415.0","398.0","54.0","4557.0","3798.0","22.0","955.0","312.0"
"2693.0","4790.0","6393.0","437.0","53.0","4592.0","4048.0","13.0","979.0","308.0"
"2820.0","5314.0","6509.0","508.0","99.0","4804.0","4163.0","16.0","1097.0","370.0"
"2872.0","5121.0","6900.0","445.0","64.0","4954.0","3960.0","12.0","1000.0","317.0"
"2330.0","4470.0","6129.0","386.0","48.0","4317.0","3506.0","12.0","943.0","316.0"
"1930.0","3366.0","4791.0","308.0","41.0","3488.0","2847.0","11.0","620.0","193.0"
"1864.0","3397.0","4728.0","339.0","37.0","3966.0","3043.0","7.0","637.0","297.0"
"2658.0","4833.0","6073.0","464.0","77.0","5037.0","3881.0","6.0","930.0","356.0"
"2820.0","5110.0","6433.0","412.0","64.0","4849.0","4035.0","16.0","978.0","332.0"
"2842.0","5079.0","6045.0","406.0","51.0","4770.0","4021.0","15.0","915.0","326.0"
"2880.0","5187.0","6965.0","413.0","70.0","4780.0","4235.0","14.0","993.0","384.0"
"2434.0","4358.0","6489.0","323.0","41.0","4315.0","3597.0","12.0","947.0","280.0"
"1689.0","3339.0","4546.0","338.0","31.0","3990.0","2943.0","18.0","676.0","206.0"
"1938.0","3643.0","4874.0","289.0","39.0","4382.0","3221.0","16.0","689.0","233.0"
"2776.0","5016.0","6524.0","454.0","52.0","4748.0","4769.0","19.0","927.0","335.0"
"2865.0","5292.0","6606.0","486.0","68.0","4654.0","4462.0","12.0","998.0","366.0"
"2885.0","5451.0","6845.0","405.0","43.0","4996.0","4357.0","13.0","1048.0","426.0"
"2690.0","5372.0","6651.0","484.0","49.0","4583.0","4175.0","9.0","997.0","364.0"
"2510.0","4887.0","6445.0","382.0","45.0","4140.0","3649.0","13.0","925.0","364.0"
"1799.0","3325.0","4581.0","273.0","29.0","3391.0","2900.0","11.0","566.0","208.0"
"1884.0","3499.0","4693.0","360.0","41.0","3905.0","2989.0","13.0","601.0","297.0"
"2841.0","5113.0","6377.0","459.0","73.0","4936.0","4044.0","8.0","964.0","392.0"
"2893.0","5125.0","6421.0","434.0","78.0","4556.0","4193.0","13.0","931.0","395.0"
"3005.0","5502.0","6709.0","478.0","71.0","4620.0","4095.0","16.0","1038.0","337.0"
"2812.0","5331.0","7195.0","492.0","56.0","4923.0","4123.0","14.0","1042.0","404.0"
"2306.0","4473.0","6216.0","344.0","52.0","4075.0","3593.0","9.0","844.0","312.0"
"1654.0","3044.0","4362.0","307.0","57.0","3348.0","2684.0","7.0","587.0","210.0"
"1847.0","3478.0","4734.0","319.0","39.0","3745.0","2836.0","12.0","690.0","200.0"
"2687.0","4803.0","6205.0","404.0","57.0","4767.0","3924.0","17.0","907.0","365.0"
"2750.0","5154.0","6371.0","434.0","61.0","5325.0","4052.0","22.0","1020.0","343.0"
"2845.0","5050.0","6629.0","467.0","64.0","5059.0","4161.0","10.0","1077.0","326.0"
"3090.0","4859.0","6837.0","425.0","66.0","4671.0","3945.0","14.0","883.0","314.0"
"2508.0","4398.0","6537.0","401.0","56.0","3870.0","3337.0","10.0","842.0","310.0"
"1802.0","3303.0","4692.0","325.0","33.0","3505.0","2613.0","6.0","615.0","230.0"
"1789.0","3113.0","4336.0","307.0","41.0","3555.0","2620.0","5.0","656.0","245.0"
"2873.0","4905.0","6418.0","430.0","60.0","4676.0","3880.0","6.0","955.0","341.0"
"3088.0","5115.0","6642.0","472.0","52.0","4854.0","4130.0","13.0","1018.0","339.0"
"3049.0","5340.0","6587.0","480.0","86.0","5010.0","4225.0","7.0","983.0","426.0"
"2644.0","5010.0","8001.0","485.0","76.0","4910.0","4090.0","4.0","1022.0","381.0"
"2456.0","4405.0","9884.0","403.0","66.0","4032.0","3451.0","8.0","886.0","321.0"
"1707.0","3197.0","4999.0","289.0","43.0","3473.0","2767.0","8.0","610.0","244.0"
"1776.0","3294.0","4954.0","341.0","45.0","3854.0","2848.0","11.0","595.0","270.0"
"2742.0","5246.0","6435.0","441.0","51.0","5046.0","4150.0","13.0","944.0","359.0"
"2824.0","5117.0","6975.0","473.0","58.0","4787.0","4053.0","9.0","1032.0","344.0"
"2833.0","5393.0","7261.0","465.0","67.0","4579.0","4180.0","25.0","985.0","349.0"
"2994.0","5661.0","8673.0","452.0","67.0","4640.0","4112.0","13.0","911.0","382.0"
"2532.0","4554.0","7123.0","365.0","63.0","3907.0","3448.0","29.0","849.0","343.0"
