"Pertussis","Pathogenic_bacteria","Common_cold","Fever","Bordetella_pertussis","Airborne_disease","Pertussis_vaccine","Paroxysmal_attack","Syncope_(medicine)","Lymphocytosis"
"3617.0","241.0","4687.0","6013.0","390.0","128.0","41.0","142.0","1698.0","379.0"
"3395.0","199.0","4045.0","5600.0","339.0","106.0","36.0","135.0","1654.0","383.0"
"2847.0","198.0","3274.0","4806.0","320.0","88.0","56.0","123.0","1446.0","345.0"
"2095.0","160.0","2651.0","3954.0","223.0","65.0","31.0","71.0","1155.0","254.0"
"2059.0","239.0","3006.0","4852.0","259.0","86.0","47.0","96.0","1205.0","224.0"
"2636.0","219.0","3771.0","5857.0","324.0","101.0","39.0","148.0","1688.0","362.0"
"2654.0","233.0","3910.0","5607.0","360.0","101.0","47.0","108.0","1699.0","358.0"
"2906.0","294.0","3857.0","5388.0","403.0","106.0","40.0","131.0","1689.0","433.0"
"3230.0","255.0","3731.0","5197.0","349.0","100.0","51.0","157.0","1700.0","441.0"
"2682.0","212.0","3369.0","4593.0","306.0","81.0","65.0","104.0","1510.0","342.0"
"1861.0","156.0","2596.0","3837.0","216.0","80.0","36.0","87.0","1162.0","218.0"
"2100.0","184.0","3052.0","4456.0","271.0","73.0","30.0","93.0","1336.0","269.0"
"3122.0","240.0","4005.0","5489.0","404.0","98.0","52.0","179.0","1970.0","417.0"
"3110.0","224.0","3770.0","5171.0","376.0","111.0","45.0","123.0","1906.0","444.0"
"3281.0","241.0","4006.0","5344.0","416.0","93.0","63.0","131.0","1852.0","431.0"
"2951.0","163.0","3721.0","4747.0","395.0","112.0","52.0","129.0","1670.0","405.0"
"2575.0","177.0","3184.0","4399.0","306.0","82.0","47.0","114.0","1473.0","354.0"
"1855.0","174.0","2457.0","3671.0","180.0","72.0","37.0","92.0","1215.0","231.0"
"2197.0","135.0","2917.0","4090.0","316.0","68.0","40.0","98.0","1422.0","214.0"
"2771.0","253.0","3851.0","5420.0","390.0","103.0","52.0","145.0","1755.0","418.0"
"2597.0","208.0","3707.0","5076.0","385.0","119.0","45.0","134.0","1726.0","392.0"
"2857.0","193.0","3762.0","4927.0","385.0","123.0","60.0","115.0","1741.0","447.0"
"2645.0","167.0","3656.0","4973.0","372.0","151.0","36.0","156.0","1835.0","388.0"
"2106.0","142.0","2954.0","4195.0","293.0","81.0","38.0","121.0","1451.0","334.0"
"1487.0","143.0","2155.0","3658.0","186.0","95.0","26.0","89.0","1140.0","177.0"
"1745.0","121.0","2615.0","4112.0","222.0","114.0","21.0","97.0","1294.0","233.0"
"2540.0","172.0","3151.0","4807.0","328.0","115.0","55.0","128.0","1620.0","334.0"
"2658.0","169.0","3215.0","4913.0","370.0","130.0","51.0","130.0","1680.0","336.0"
"2514.0","155.0","3267.0","4768.0","371.0","94.0","38.0","114.0","1555.0","342.0"
"2569.0","156.0","3078.0","4403.0","348.0","77.0","31.0","133.0","1516.0","430.0"
"2047.0","162.0","2596.0","3909.0","306.0","63.0","24.0","76.0","1353.0","285.0"
"1704.0","86.0","2159.0","3295.0","155.0","108.0","23.0","89.0","1063.0","250.0"
"1674.0","116.0","2293.0","3672.0","212.0","93.0","17.0","75.0","1165.0","154.0"
"2524.0","167.0","3152.0","4881.0","332.0","81.0","51.0","111.0","1614.0","358.0"
"2393.0","136.0","3184.0","4537.0","334.0","104.0","47.0","103.0","1634.0","427.0"
"2512.0","171.0","3128.0","4718.0","348.0","82.0","46.0","119.0","1684.0","388.0"
"2288.0","148.0","3259.0","4575.0","342.0","97.0","42.0","117.0","1563.0","423.0"
"2005.0","116.0","2817.0","3736.0","281.0","104.0","42.0","120.0","1435.0","325.0"
"1628.0","90.0","2119.0","3189.0","205.0","70.0","26.0","90.0","1176.0","241.0"
"1916.0","157.0","2402.0","3375.0","257.0","82.0","21.0","85.0","1207.0","263.0"
"2703.0","156.0","3374.0","4601.0","415.0","130.0","48.0","143.0","1651.0","365.0"
"2572.0","153.0","3339.0","4508.0","395.0","117.0","50.0","125.0","1670.0","412.0"
"2530.0","135.0","3261.0","4592.0","436.0","93.0","58.0","123.0","1760.0","420.0"
"2479.0","163.0","3037.0","4244.0","357.0","107.0","36.0","141.0","1580.0","397.0"
"1932.0","94.0","2543.0","3509.0","267.0","68.0","33.0","99.0","1367.0","338.0"
"1388.0","87.0","1934.0","2952.0","183.0","56.0","24.0","89.0","1001.0","207.0"
"1565.0","105.0","2252.0","3688.0","238.0","78.0","16.0","114.0","1244.0","219.0"
"2233.0","160.0","2928.0","4482.0","373.0","112.0","38.0","144.0","1548.0","365.0"
"2216.0","176.0","3096.0","4343.0","350.0","125.0","53.0","147.0","1604.0","436.0"
"2335.0","169.0","2928.0","4245.0","340.0","96.0","38.0","142.0","1520.0","360.0"
"2058.0","121.0","2920.0","4027.0","338.0","82.0","35.0","158.0","1611.0","408.0"
"1964.0","132.0","2499.0","3608.0","305.0","99.0","29.0","111.0","1334.0","336.0"
"1349.0","91.0","1979.0","2961.0","188.0","71.0","20.0","89.0","1008.0","200.0"
"1668.0","101.0","2185.0","3400.0","253.0","102.0","31.0","97.0","1180.0","215.0"
"2939.0","168.0","2891.0","4469.0","420.0","111.0","51.0","161.0","1824.0","349.0"
"2354.0","163.0","2954.0","4566.0","397.0","109.0","50.0","160.0","1946.0","437.0"
"2573.0","179.0","2994.0","4572.0","392.0","140.0","51.0","152.0","1869.0","403.0"
"2483.0","183.0","3047.0","4310.0","380.0","114.0","49.0","114.0","1817.0","438.0"
"2270.0","130.0","2462.0","3491.0","297.0","99.0","40.0","102.0","1521.0","355.0"
"1648.0","81.0","1895.0","2925.0","213.0","74.0","33.0","97.0","1200.0","245.0"
"1625.0","119.0","2085.0","3211.0","249.0","78.0","35.0","125.0","1395.0","218.0"
"2355.0","143.0","2959.0","4185.0","381.0","102.0","50.0","144.0","1800.0","392.0"
"2203.0","137.0","2740.0","4144.0","369.0","91.0","37.0","146.0","1780.0","374.0"
"2208.0","138.0","2700.0","4013.0","406.0","95.0","42.0","152.0","1682.0","369.0"
"1950.0","131.0","2533.0","3823.0","353.0","73.0","35.0","152.0","1540.0","371.0"
"1607.0","121.0","1919.0","3127.0","201.0","83.0","28.0","116.0","1404.0","263.0"
"1308.0","94.0","1785.0","2927.0","194.0","66.0","25.0","101.0","1234.0","230.0"
"1219.0","78.0","1815.0","2967.0","165.0","49.0","25.0","79.0","1219.0","177.0"
"1940.0","122.0","2505.0","3842.0","316.0","76.0","38.0","118.0","1743.0","324.0"
"2310.0","141.0","2566.0","4232.0","358.0","140.0","47.0","112.0","1812.0","345.0"
"2261.0","148.0","2613.0","3988.0","351.0","142.0","41.0","106.0","1731.0","396.0"
"2516.0","163.0","2739.0","3920.0","364.0","107.0","39.0","151.0","1900.0","360.0"
"1851.0","133.0","1889.0","2975.0","279.0","76.0","40.0","89.0","1381.0","289.0"
"1475.0","84.0","1671.0","2685.0","214.0","66.0","34.0","82.0","1120.0","253.0"
"1606.0","111.0","1944.0","3182.0","276.0","66.0","28.0","95.0","1346.0","238.0"
"2012.0","164.0","2476.0","3629.0","363.0","133.0","42.0","108.0","1551.0","318.0"
"1981.0","131.0","2715.0","3790.0","367.0","105.0","44.0","156.0","1713.0","364.0"
"2335.0","166.0","2711.0","3901.0","416.0","103.0","52.0","103.0","1640.0","333.0"
"2426.0","148.0","2524.0","3633.0","372.0","106.0","41.0","123.0","1686.0","395.0"
"2141.0","116.0","2340.0","3341.0","325.0","111.0","33.0","105.0","1659.0","367.0"
"1636.0","98.0","1701.0","2775.0","200.0","64.0","27.0","92.0","1124.0","306.0"
"1634.0","101.0","1901.0","3039.0","237.0","75.0","32.0","105.0","1309.0","229.0"
"2553.0","144.0","2729.0","3700.0","422.0","142.0","54.0","116.0","1839.0","356.0"
"2502.0","162.0","2869.0","3733.0","370.0","114.0","54.0","142.0","1826.0","385.0"
"2416.0","167.0","2700.0","3761.0","363.0","163.0","68.0","117.0","1814.0","373.0"
"2365.0","147.0","2420.0","3698.0","355.0","126.0","55.0","128.0","1738.0","386.0"
"2117.0","135.0","2043.0","3062.0","257.0","84.0","71.0","118.0","1524.0","345.0"
"1581.0","118.0","1633.0","2712.0","172.0","74.0","24.0","83.0","1210.0","214.0"
"1779.0","103.0","2144.0","3350.0","242.0","84.0","29.0","109.0","1299.0","247.0"
"2300.0","145.0","2662.0","3783.0","350.0","108.0","43.0","140.0","1852.0","427.0"
"2487.0","190.0","2808.0","3669.0","341.0","117.0","63.0","118.0","1843.0","410.0"
"2353.0","136.0","2739.0","3670.0","302.0","117.0","49.0","141.0","1937.0","380.0"
"2133.0","150.0","2527.0","3682.0","354.0","103.0","43.0","123.0","1801.0","403.0"
"1851.0","125.0","2300.0","3168.0","297.0","88.0","31.0","131.0","1703.0","288.0"
"1243.0","78.0","1771.0","2509.0","197.0","75.0","29.0","91.0","1089.0","202.0"
"1416.0","110.0","1895.0","3063.0","251.0","51.0","41.0","92.0","1338.0","228.0"
"2256.0","143.0","2961.0","3764.0","389.0","113.0","46.0","141.0","2037.0","352.0"
"2342.0","125.0","2966.0","3602.0","360.0","113.0","47.0","134.0","1811.0","375.0"
"2314.0","122.0","2628.0","3556.0","322.0","108.0","46.0","130.0","1670.0","387.0"
"2471.0","111.0","2486.0","3363.0","314.0","110.0","42.0","109.0","1706.0","395.0"
"1877.0","137.0","2181.0","2839.0","227.0","91.0","34.0","80.0","1445.0","307.0"
"1596.0","81.0","1629.0","2573.0","179.0","68.0","33.0","74.0","1118.0","202.0"
"1577.0","95.0","1767.0","3492.0","171.0","59.0","28.0","89.0","1296.0","196.0"
"1814.0","98.0","2266.0","4049.0","261.0","90.0","34.0","97.0","1542.0","254.0"
"2036.0","145.0","2525.0","4533.0","337.0","78.0","41.0","115.0","2006.0","348.0"
"2028.0","109.0","2666.0","4354.0","275.0","81.0","48.0","91.0","1701.0","308.0"
"2011.0","143.0","2343.0","4042.0","278.0","103.0","36.0","107.0","1825.0","305.0"
"1723.0","136.0","2062.0","3299.0","284.0","70.0","41.0","111.0","1619.0","299.0"
"1339.0","96.0","1724.0","2731.0","215.0","77.0","29.0","74.0","1343.0","197.0"
"1456.0","98.0","1852.0","2898.0","213.0","64.0","31.0","94.0","1556.0","209.0"
"2044.0","117.0","2305.0","3679.0","306.0","85.0","54.0","123.0","2261.0","283.0"
"2243.0","152.0","2275.0","3523.0","326.0","90.0","58.0","119.0","2001.0","351.0"
"2281.0","150.0","2251.0","3839.0","301.0","95.0","57.0","122.0","1843.0","337.0"
"2110.0","128.0","2107.0","3197.0","253.0","107.0","43.0","134.0","1653.0","383.0"
"1970.0","130.0","1919.0","3000.0","233.0","67.0","52.0","89.0","1611.0","329.0"
"1633.0","127.0","1584.0","2649.0","215.0","56.0","35.0","64.0","1172.0","227.0"
"2011.0","81.0","1748.0","2992.0","195.0","62.0","47.0","99.0","1255.0","208.0"
"2222.0","115.0","2244.0","3730.0","297.0","69.0","60.0","104.0","1839.0","350.0"
"1896.0","118.0","2017.0","3312.0","257.0","102.0","61.0","111.0","1502.0","330.0"
"2025.0","106.0","2230.0","3868.0","275.0","126.0","74.0","118.0","1733.0","380.0"
"1932.0","144.0","2012.0","3457.0","245.0","116.0","41.0","101.0","1558.0","349.0"
"1720.0","109.0","1870.0","3170.0","210.0","90.0","47.0","96.0","1429.0","321.0"
"1369.0","97.0","1417.0","2560.0","177.0","59.0","42.0","66.0","1091.0","217.0"
"1390.0","106.0","1790.0","3409.0","176.0","80.0","45.0","84.0","1286.0","242.0"
"1977.0","132.0","2345.0","3797.0","246.0","86.0","45.0","113.0","1853.0","316.0"
"2028.0","179.0","2319.0","3903.0","263.0","80.0","54.0","75.0","1729.0","363.0"
"2468.0","141.0","2285.0","4099.0","295.0","103.0","72.0","110.0","1788.0","347.0"
"2170.0","121.0","2206.0","3892.0","250.0","108.0","42.0","124.0","1811.0","349.0"
"1714.0","99.0","1867.0","3385.0","186.0","83.0","39.0","82.0","1638.0","360.0"
"1178.0","79.0","1419.0","2779.0","133.0","90.0","30.0","75.0","1143.0","223.0"
"1302.0","104.0","1570.0","3102.0","141.0","84.0","26.0","77.0","1219.0","223.0"
"1731.0","106.0","2115.0","3852.0","217.0","104.0","51.0","120.0","1777.0","316.0"
"1766.0","133.0","2213.0","3864.0","224.0","92.0","56.0","120.0","1726.0","359.0"
"1733.0","118.0","2137.0","3712.0","226.0","88.0","58.0","127.0","1768.0","367.0"
"2149.0","95.0","2016.0","3343.0","245.0","70.0","60.0","82.0","1555.0","318.0"
"1722.0","112.0","1683.0","3152.0","186.0","56.0","45.0","84.0","1389.0","270.0"
"1132.0","192.0","1609.0","2899.0","167.0","66.0","32.0","47.0","1113.0","172.0"
"1255.0","161.0","1615.0","2928.0","134.0","72.0","28.0","50.0","1227.0","191.0"
"1480.0","94.0","2042.0","3571.0","228.0","90.0","45.0","96.0","1452.0","223.0"
"1637.0","142.0","2143.0","3755.0","219.0","105.0","47.0","107.0","1786.0","358.0"
"1651.0","132.0","2256.0","3835.0","229.0","91.0","55.0","112.0","1824.0","357.0"
"1625.0","140.0","2162.0","3696.0","244.0","120.0","45.0","104.0","1848.0","375.0"
"1536.0","130.0","1831.0","3314.0","198.0","59.0","44.0","101.0","1702.0","321.0"
"1124.0","85.0","1554.0","2791.0","156.0","61.0","50.0","64.0","1257.0","235.0"
"1136.0","90.0","1893.0","2994.0","140.0","70.0","33.0","86.0","1350.0","201.0"
"1699.0","111.0","2244.0","3820.0","217.0","75.0","52.0","75.0","2092.0","335.0"
"1991.0","107.0","2318.0","3982.0","245.0","86.0","55.0","103.0","2033.0","385.0"
"1817.0","144.0","1996.0","3477.0","192.0","83.0","37.0","130.0","1878.0","357.0"
"1809.0","128.0","2133.0","3453.0","192.0","83.0","57.0","89.0","1770.0","393.0"
"1583.0","121.0","1725.0","3048.0","171.0","83.0","32.0","77.0","1587.0","285.0"
"1219.0","120.0","1464.0","2626.0","154.0","71.0","35.0","63.0","1184.0","235.0"
"1420.0","86.0","1794.0","3003.0","168.0","69.0","35.0","70.0","1400.0","197.0"
"1826.0","153.0","2256.0","4012.0","210.0","100.0","41.0","116.0","2082.0","378.0"
"1718.0","128.0","2141.0","3734.0","235.0","96.0","42.0","108.0","1983.0","351.0"
"1970.0","147.0","2122.0","3828.0","246.0","90.0","51.0","104.0","2004.0","402.0"
"1723.0","145.0","1867.0","3545.0","209.0","96.0","34.0","105.0","1778.0","309.0"
"1682.0","102.0","1834.0","3163.0","194.0","88.0","47.0","105.0","1733.0","325.0"
"1190.0","101.0","1620.0","2653.0","138.0","68.0","23.0","66.0","1224.0","185.0"
"1248.0","92.0","1692.0","2788.0","102.0","88.0","20.0","115.0","1273.0","209.0"
"1947.0","128.0","2277.0","3632.0","192.0","87.0","53.0","136.0","1885.0","325.0"
"2201.0","131.0","2439.0","3952.0","261.0","75.0","56.0","145.0","2062.0","388.0"
"2179.0","149.0","2228.0","3899.0","286.0","93.0","62.0","149.0","2075.0","415.0"
"2157.0","146.0","2158.0","3884.0","234.0","76.0","64.0","119.0","1884.0","397.0"
"1816.0","121.0","1884.0","3410.0","198.0","57.0","41.0","133.0","1833.0","343.0"
"1404.0","97.0","1582.0","2825.0","125.0","63.0","48.0","96.0","1360.0","191.0"
"1790.0","75.0","1725.0","3119.0","157.0","66.0","32.0","98.0","1446.0","218.0"
"1895.0","111.0","2010.0","3499.0","198.0","67.0","47.0","133.0","1851.0","268.0"
"1980.0","101.0","2511.0","3856.0","219.0","101.0","61.0","151.0","2001.0","406.0"
"1932.0","146.0","2073.0","3893.0","216.0","104.0","61.0","137.0","1919.0","342.0"
"1896.0","121.0","2145.0","3880.0","202.0","88.0","48.0","134.0","1911.0","383.0"
"1785.0","115.0","1784.0","3754.0","181.0","75.0","59.0","129.0","1750.0","318.0"
"1289.0","101.0","1424.0","2841.0","130.0","59.0","47.0","95.0","1260.0","241.0"
"1518.0","107.0","1612.0","3022.0","182.0","99.0","31.0","118.0","1349.0","239.0"
"2157.0","129.0","1954.0","3579.0","184.0","60.0","49.0","157.0","1837.0","332.0"
"2256.0","149.0","1997.0","3680.0","183.0","64.0","57.0","161.0","1694.0","410.0"
"2226.0","122.0","2067.0","3425.0","192.0","79.0","32.0","142.0","1856.0","365.0"
"2213.0","121.0","1951.0","3183.0","206.0","98.0","60.0","129.0","1639.0","343.0"
"1687.0","84.0","1664.0","2988.0","182.0","61.0","45.0","125.0","1329.0","315.0"
"1443.0","78.0","1559.0","2736.0","159.0","49.0","31.0","84.0","1202.0","240.0"
"1471.0","70.0","1687.0","2995.0","145.0","70.0","25.0","105.0","1269.0","182.0"
"1834.0","122.0","1914.0","3274.0","219.0","94.0","59.0","145.0","1592.0","349.0"
"1870.0","115.0","2214.0","3606.0","253.0","106.0","53.0","140.0","1649.0","383.0"
"1773.0","114.0","2018.0","3374.0","231.0","88.0","57.0","111.0","1580.0","341.0"
"1599.0","163.0","1757.0","2948.0","184.0","101.0","37.0","113.0","1423.0","284.0"
"1821.0","244.0","1917.0","3077.0","191.0","62.0","40.0","125.0","1541.0","356.0"
"1299.0","227.0","1527.0","2793.0","128.0","64.0","33.0","98.0","1194.0","186.0"
"1262.0","310.0","1657.0","3048.0","142.0","71.0","32.0","96.0","1101.0","166.0"
"1920.0","499.0","2130.0","3419.0","210.0","88.0","52.0","151.0","1623.0","273.0"
"2027.0","556.0","2160.0","3388.0","263.0","86.0","50.0","157.0","1619.0","346.0"
"1929.0","516.0","2089.0","3279.0","257.0","86.0","58.0","133.0","1529.0","352.0"
"2052.0","481.0","1983.0","3302.0","222.0","63.0","41.0","147.0","1620.0","331.0"
"1891.0","420.0","2287.0","3087.0","182.0","72.0","59.0","114.0","1502.0","321.0"
"1458.0","360.0","1786.0","3259.0","125.0","41.0","39.0","97.0","1114.0","192.0"
"1532.0","375.0","1782.0","2934.0","135.0","57.0","30.0","113.0","1171.0","202.0"
"1718.0","480.0","2124.0","3080.0","181.0","54.0","46.0","111.0","1490.0","275.0"
"1863.0","550.0","2274.0","3091.0","236.0","78.0","46.0","172.0","1692.0","313.0"
"1929.0","552.0","2347.0","3149.0","232.0","83.0","49.0","123.0","1631.0","296.0"
"1762.0","522.0","2353.0","3136.0","203.0","83.0","52.0","132.0","1561.0","311.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1198.0","405.0","1769.0","2540.0","143.0","55.0","36.0","96.0","1186.0","196.0"
"1211.0","402.0","1835.0","2819.0","185.0","76.0","24.0","78.0","1214.0","156.0"
"1537.0","489.0","2026.0","3003.0","164.0","88.0","36.0","124.0","1239.0","194.0"
"1933.0","622.0","2575.0","3401.0","227.0","97.0","54.0","133.0","1524.0","342.0"
"1904.0","650.0","2411.0","3201.0","214.0","93.0","52.0","143.0","1618.0","311.0"
"2081.0","671.0","2460.0","3626.0","204.0","90.0","41.0","161.0","1632.0","299.0"
"1892.0","544.0","2360.0","3415.0","207.0","101.0","51.0","137.0","1500.0","284.0"
"1427.0","501.0","2346.0","3019.0","153.0","83.0","33.0","127.0","1209.0","217.0"
"1409.0","501.0","2277.0","2965.0","160.0","97.0","21.0","129.0","1216.0","192.0"
"1676.0","696.0","2553.0","3591.0","260.0","88.0","50.0","125.0","1560.0","345.0"
"1861.0","818.0","2725.0","3337.0","245.0","101.0","54.0","161.0","1619.0","346.0"
"1909.0","727.0","2904.0","3517.0","258.0","85.0","42.0","138.0","1625.0","335.0"
"2088.0","667.0","2946.0","3504.0","277.0","124.0","45.0","183.0","1663.0","366.0"
"1780.0","552.0","2730.0","3274.0","268.0","157.0","43.0","159.0","1427.0","328.0"
"1627.0","480.0","2815.0","3072.0","184.0","89.0","49.0","125.0","1189.0","265.0"
"1465.0","542.0","2770.0","3032.0","174.0","78.0","26.0","103.0","1080.0","202.0"
"2200.0","733.0","3437.0","3734.0","287.0","109.0","47.0","146.0","1690.0","344.0"
"2574.0","669.0","3717.0","4165.0","259.0","133.0","67.0","154.0","1631.0","353.0"
"2167.0","662.0","3270.0","4537.0","276.0","130.0","54.0","160.0","1587.0","366.0"
"2140.0","717.0","3417.0","3928.0","307.0","93.0","50.0","164.0","1613.0","345.0"
"1980.0","539.0","3034.0","3442.0","201.0","94.0","40.0","158.0","1486.0","334.0"
"1670.0","457.0","2762.0","3269.0","179.0","85.0","27.0","104.0","1234.0","248.0"
"1725.0","483.0","2836.0","3335.0","203.0","99.0","34.0","142.0","1248.0","238.0"
"1941.0","726.0","3495.0","3892.0","248.0","118.0","40.0","199.0","1709.0","357.0"
"2054.0","645.0","3205.0","3868.0","280.0","102.0","57.0","182.0","1702.0","338.0"
"1815.0","687.0","3015.0","3820.0","244.0","111.0","58.0","170.0","1644.0","348.0"
"2105.0","729.0","3371.0","4332.0","278.0","117.0","62.0","194.0","1712.0","410.0"
"1963.0","677.0","3188.0","4047.0","241.0","89.0","58.0","169.0","1630.0","359.0"
"1550.0","463.0","2828.0","3559.0","203.0","76.0","47.0","114.0","1366.0","277.0"
"1584.0","655.0","3143.0","3769.0","224.0","84.0","34.0","163.0","1359.0","239.0"
"2176.0","823.0","3859.0","4439.0","284.0","130.0","42.0","195.0","1916.0","376.0"
"2197.0","874.0","3945.0","4379.0","357.0","108.0","60.0","211.0","1979.0","391.0"
