Alabama,Alaska,Arizona,Arkansas,Colorado,Delaware,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Missouri,Nebraska,New_Mexico,New_York,North_Carolina,Ohio,Oklahoma,Pennsylvania,Tennessee,Texas,Virginia,Bati_Virginia,Wyoming,Utah
0.032688459,0.014744913,0.0296502788,0.0123184097,0.0137759711,0.0026811766,0.0405551272,0.0078811761,0.0390129464,0.0643162875,0.0188470067,0.0113927948,0.0376359894,0.0272590126,0.0303476039,0.027922003,0.0182068018,0.0157374532,0.01768578,0.0212394991,0.0251970036,0.0498072631,0.026126277,0.0433975605,0.0275736687,0.0436298212,0.0414497192,0.0235849057,0,0.0148470306
0.0375064858,0.0219699204,0.0330968069,0.0264633421,0.0324074074,0.0084378204,0.0646106399,0.0167727594,0.0653401686,0.0821130885,0.0392184035,0.0176537001,0.0457953543,0.0443739271,0.0455988233,0.0534210223,0.0424252834,0.0209192976,0.0394955984,0.0356633381,0.0403735772,0.0683708663,0.0367191425,0.066643097,0.0249223544,0.0607219161,0.0647269015,0.0530860249,0.0007686395,0.0211457708
0.0484767623,0.0415806547,0.0448048657,0.0399286382,0.0309394761,0.0179007965,0.0874325366,0.0332423967,0.0798505517,0.1182698806,0.0496119734,0.0223750385,0.0573360776,0.0625292618,0.069830456,0.0897657782,0.0573686019,0.0287880242,0.0583710048,0.0547630369,0.0582741512,0.0870359099,0.0459303299,0.0946614814,0.0356033634,0.0842235466,0.0942317509,0.0938599296,0.0006405329,0.0392921416
0.0676747461,0.0542612799,0.0460719716,0.0512275932,0.0380532972,0.0396656415,0.0874325366,0.051126604,0.0871491876,0.1260419013,0.056402439,0.0322282664,0.0635107321,0.0717369817,0.0775721917,0.1079958463,0.0791824115,0.0340658286,0.0787532715,0.0683943573,0.0708240101,0.0962669913,0.0515826495,0.1177302457,0.0574956443,0.0995164736,0.1116896376,0.1116885193,0.0005124263,0.0643371326
0.0657475354,0.0800648776,0.0561074506,0.066349503,0.0440379404,0.0664774071,0.0895913647,0.059411943,0.0923624989,0.1104978599,0.0634700665,0.0399261008,0.0765216113,0.0709046455,0.0903460556,0.1029191185,0.0781518379,0.0423183955,0.0667776985,0.0903471232,0.0773421539,0.1101643335,0.0676184894,0.1276294856,0.0559806075,0.1023838974,0.1286370597,0.1268787976,0.0011529593,0.0547390522
0.0710844267,0.0911235624,0.060466295,0.0731883442,0.048102981,0.0837473385,0.0885119507,0.0708295443,0.094708489,0.1123000676,0.058481153,0.0377707072,0.0931343722,0.0847422359,0.0839978323,0.1224183685,0.0669872896,0.0465406391,0.0663018479,0.0870977968,0.0872652982,0.1202069385,0.0611287891,0.1241824288,0.0727217635,0.1038457214,0.1260847371,0.1330348577,0.0040994107,0.074235153
0.071899785,0.083898555,0.0503294475,0.0832554583,0.0520551039,0.0868228058,0.0882035466,0.0761847024,0.0796767747,0.1012615454,0.064578714,0.0425946834,0.0830638048,0.0923893253,0.0911202292,0.0984192916,0.0795259361,0.0449093177,0.0695534935,0.0803613885,0.0877517268,0.1036721445,0.0739825825,0.1102174297,0.0668888721,0.1110986169,0.1238386932,0.1320754717,0.0064053292,0.0554889022
0.0827218145,0.094072545,0.0554485555,0.0932800951,0.0521680217,0.0840627711,0.1043947571,0.0831565121,0.0739421322,0.1063302546,0.0634700665,0.0405419275,0.0855630697,0.1036258648,0.0891073779,0.1075343256,0.0702507729,0.0451012379,0.0816876834,0.0825011888,0.0830820119,0.1015418949,0.0734801541,0.1104825879,0.0758275888,0.1126728888,0.1385400715,0.1271985929,0.0092236741,0.050089982
0.0953969313,0.1279858449,0.0596046629,0.0944269816,0.0633468835,0.0832741897,0.1113338473,0.0760836617,0.0922756104,0.1322369903,0.0716463415,0.0452632659,0.1164363423,0.1236019352,0.1004877293,0.1086881274,0.0967021642,0.0483638806,0.0855737965,0.0986685687,0.1096410157,0.1151349158,0.0779182716,0.1259501503,0.0847663056,0.1327448555,0.1472179684,0.1174448353,0.0155008967,0.0670365927
0.0908012749,0.1241521675,0.0635073492,0.0922606406,0.0544263776,0.0876902452,0.1164225135,0.0708295443,0.0894951777,0.121986934,0.070537694,0.0527558247,0.1304763305,0.1359309161,0.0946040102,0.1115726318,0.0882858124,0.0494194415,0.0937425648,0.0965287684,0.1097383014,0.1121931426,0.0889298275,0.1237404985,0.0986288918,0.1289216237,0.1439509954,0.1236008954,0.0320266462,0.0629874025
0.0802016159,0.1212031849,0.0715154587,0.0850395039,0.0731707317,0.1029098652,0.1185813416,0.0748711731,0.098705361,0.1208605542,0.0979767184,0.0538848404,0.1270949721,0.1215210945,0.114732523,0.13637937,0.1018550326,0.0643892141,0.099849314,0.1008876209,0.1188831598,0.1160478799,0.1072265952,0.1423015733,0.0884023938,0.1313392556,0.1586523737,0.1443076431,0.0399692544,0.0557888422
0.072196279,0.1151577706,0.0791687785,0.0866961176,0.082429991,0.1063796231,0.1232074017,0.082449227,0.0997480233,0.115566569,0.0850886918,0.0666119265,0.1139370773,0.1074233991,0.1164357049,0.1301488404,0.0942974923,0.0782074657,0.1067491474,0.0901886194,0.1044848721,0.1054980726,0.0979316697,0.1225030935,0.0857510795,0.1222309682,0.1312914752,0.1248800768,0.0463745837,0.0604379124
0.0845749018,0.1242996166,0.0917891536,0.1010109591,0.0832204155,0.1029098652,0.1404780262,0.0958876427,0.1229472587,0.1514980852,0.0807926829,0.0769783434,0.1427521317,0.1156947407,0.1237903538,0.1322256836,0.1198900721,0.0865559927,0.1021492585,0.1107941037,0.12024516,0.1367417326,0.1208759002,0.14574863,0.1086281342,0.1511863263,0.14762634,0.129996802,0.0504739944,0.0692861428
0.0849455192,0.1418460631,0.0781044095,0.1000339818,0.07633243,0.0968377888,0.1355435621,0.0985147014,0.1313754453,0.1351655778,0.0753880266,0.0664066509,0.1398853278,0.1107007231,0.1140357668,0.1438790816,0.1338028169,0.0868438729,0.1047664367,0.106593755,0.1309465901,0.1498275512,0.1058449171,0.1418596429,0.0925687448,0.1374114472,0.1502807555,0.1503837544,0.0486805022,0.0629874025
0.1076273071,0.1851961073,0.0780030411,0.1153258007,0.0809620596,0.0982572352,0.1377023901,0.0937657876,0.1331132157,0.1501464294,0.0676274945,0.0764651545,0.176198177,0.135514748,0.1358674615,0.1520710742,0.1308828581,0.1088187314,0.0981045285,0.1172927564,0.1375620197,0.1715358085,0.1075196784,0.1664309705,0.1022649799,0.1483189025,0.1653905054,0.1436680524,0.0444529849,0.0590881824
0.1329775406,0.2000884695,0.1101875317,0.1276442103,0.109530262,0.1075624951,0.1733230532,0.1097302213,0.1532713529,0.2146879928,0.1133592018,0.0866262958,0.20905616,0.163970244,0.1574669041,0.1964924426,0.1707317073,0.1265713463,0.1103180268,0.1367887145,0.1670395953,0.2070399675,0.1014067995,0.1998409051,0.1450647678,0.1634431575,0.2185809086,0.1672529581,0.0471432232,0.0956808638
0.1390556667,0.208640519,0.1471363406,0.1657038484,0.1233062331,0.140998344,0.199537394,0.1764170961,0.2116604397,0.243973868,0.1726718404,0.1364056246,0.2315495443,0.1929459502,0.1880467601,0.2496827045,0.2208862934,0.1941272431,0.1526687287,0.168806467,0.1969063138,0.246195983,0.1292078379,0.2417359024,0.1657450193,0.1739570449,0.2452271567,0.2019507515,0.0489367153,0.1310737852
0.1384626788,0.2092303155,0.1318803852,0.1491377113,0.1236449864,0.17624793,0.2217424827,0.2121855108,0.203058476,0.2264023429,0.1335920177,0.1108488145,0.2058953249,0.1824377048,0.1978013471,0.2577593169,0.2061147372,0.1743594665,0.1449758109,0.1819622761,0.1959334566,0.250456482,0.1220063641,0.2505745095,0.1496856299,0.1678848533,0.2372639102,0.2200191877,0.0543171919,0.1235752849
0.1078496776,0.207460926,0.1111505322,0.1197859145,0.104561879,0.1663906632,0.2072474942,0.1686369607,0.1709966113,0.1700833521,0.1039356984,0.087036847,0.1825198471,0.151329137,0.1654408918,0.2167993539,0.1739951907,0.136935035,0.1353001824,0.1445553971,0.1695690242,0.2001420166,0.1296265282,0.20602793,0.1190061359,0.1474755426,0.2136804492,0.1941157659,0.0596976685,0.0973305339
0.1146690386,0.2028900029,0.1063355297,0.1239911647,0.1155149051,0.1463606971,0.200925212,0.1406486814,0.1651750804,0.1697454382,0.1165465632,0.0957610592,0.1866362834,0.1603287728,0.1535960362,0.194184839,0.1703881828,0.1399097975,0.1498136252,0.13361864,0.1749197393,0.1789409617,0.1192011388,0.1933003359,0.1121884706,0.1443832228,0.2084737111,0.1710905021,0.0586728158,0.0910317936
0.1223037581,0.2083456208,0.1203750634,0.1286211877,0.1210478771,0.1365034303,0.2067848882,0.1426694958,0.1762099227,0.158256364,0.1315133038,0.1138253105,0.1802411056,0.1434219425,0.1657505613,0.2203761394,0.2239780144,0.1496977257,0.1525894203,0.1306863211,0.1740441677,0.1899979712,0.1335622174,0.1874668552,0.1136277555,0.1620937816,0.1909137315,0.176367125,0.0596976685,0.101229754
0.1238603513,0.2424063698,0.125848961,0.1490102795,0.1295167118,0.1420234997,0.1955281419,0.1576235223,0.1701277261,0.1638882631,0.1297117517,0.1395873961,0.1803881211,0.1625656765,0.1525121932,0.2249913465,0.2681209206,0.1620765761,0.1553652153,0.1243461721,0.1765735967,0.1844187462,0.146709094,0.1843733428,0.1243087645,0.1773867086,0.2046962736,0.1651742885,0.0630284397,0.1285242951
0.1261581795,0.2034797995,0.1201216422,0.1394104154,0.1187895212,0.1528270641,0.165458751,0.1630797211,0.1544877922,0.1641135391,0.0990853659,0.1339423176,0.1887680094,0.170368829,0.1381125648,0.197415484,0.2564410855,0.1395259572,0.1498929336,0.1084957997,0.1538087363,0.1638263339,0.1446575113,0.1660774262,0.1218847057,0.1751377488,0.1908116386,0.1518228334,0.0677683833,0.1031793641
0.1515825365,0.1989088764,0.1109477952,0.1609039164,0.1444218609,0.1282233262,0.1835003855,0.1652015762,0.1781214702,0.1578058121,0.1119733925,0.1404084984,0.2391208468,0.1952348749,0.1415189285,0.2029537325,0.3249742357,0.1460512427,0.1448171941,0.1119036297,0.1666504524,0.1757963076,0.1839725339,0.1590065406,0.1422619499,0.2047115709,0.1878509444,0.1522225776,0.0746861389,0.1099280144
0.1635164184,0.2039221469,0.1343132286,0.1992184181,0.1571815718,0.1301947796,0.1781033153,0.148731939,0.2021895908,0.1804460464,0.1247228381,0.1651442061,0.2452219935,0.2324819227,0.1327707672,0.2344525211,0.3967708691,0.1937434027,0.1781267349,0.1209383421,0.1787138827,0.1930411848,0.257410819,0.1776560014,0.1599121279,0.2386146407,0.1834609495,0.1669331628,0.0798104023,0.1216256749
0.1421688533,0.2087879682,0.1389761784,0.2231756011,0.1455510388,0.1082722183,0.1750192753,0.1482267354,0.2043618038,0.1542013967,0.1305432373,0.1833110951,0.2149367833,0.2164594496,0.117984052,0.2124149071,0.4393679148,0.1680261011,0.1930367198,0.1041369472,0.1474851639,0.1592615135,0.3223078211,0.1430086618,0.1603666389,0.2449679523,0.161510975,0.1536616565,0.1046630797,0.1114277145
0.1349047513,0.1944854025,0.1308667005,0.22054201,0.1440831075,0.1084299345,0.1814957594,0.1718702637,0.236510557,0.1780806488,0.1589523282,0.1856717643,0.2142752132,0.2125578734,0.133157854,0.1978770047,0.4330127104,0.2001727281,0.1701165834,0.1043747028,0.1323085903,0.1687969162,0.3563054765,0.1422131872,0.1602908871,0.2428876645,0.1644716692,0.1727694276,0.1269536254,0.1159268146
0.1501741902,0.2244175759,0.1547389762,0.1943760088,0.135501355,0.1025944326,0.1702390131,0.176821259,0.2511078287,0.2082676278,0.1728104213,0.170584009,0.1875183769,0.1952868959,0.1221645893,0.2159916926,0.3361387839,0.2008444487,0.1667856293,0.1089713108,0.1319194474,0.1660580239,0.3194607268,0.1259501503,0.1750624953,0.2254582256,0.1436447167,0.1690917813,0.1425826287,0.1303239352
