Week,water pollution,malaria,malaria vaccine,fever,influenza
2013-04-07 - 2013-04-13,76,56,21,66,18
2013-04-14 - 2013-04-20,87,57,18,62,17
2013-04-21 - 2013-04-27,100,93,27,62,17
2013-04-28 - 2013-05-04,92,71,26,63,15
2013-05-05 - 2013-05-11,87,67,24,65,13
2013-05-12 - 2013-05-18,82,60,20,61,11
2013-05-19 - 2013-05-25,70,58,20,57,10
2013-05-26 - 2013-06-01,57,52,16,59,10
2013-06-02 - 2013-06-08,47,49,15,58,9
2013-06-09 - 2013-06-15,28,46,19,56,9
2013-06-16 - 2013-06-22,22,44,13,56,8
2013-06-23 - 2013-06-29,20,46,16,58,7
2013-06-30 - 2013-07-06,18,40,18,58,7
2013-07-07 - 2013-07-13,19,44,16,58,7
2013-07-14 - 2013-07-20,21,45,15,55,8
2013-07-21 - 2013-07-27,21,43,15,55,7
2013-07-28 - 2013-08-03,19,48,16,55,7
2013-08-04 - 2013-08-10,17,58,77,55,7
2013-08-11 - 2013-08-17,22,45,43,54,8
2013-08-18 - 2013-08-24,24,42,21,54,10
2013-08-25 - 2013-08-31,29,43,18,56,12
2013-09-01 - 2013-09-07,32,45,15,55,14
2013-09-08 - 2013-09-14,39,48,18,58,16
2013-09-15 - 2013-09-21,47,48,17,58,18
2013-09-22 - 2013-09-28,55,50,18,58,20
2013-09-29 - 2013-10-05,52,50,20,58,21
2013-10-06 - 2013-10-12,62,53,50,57,20
2013-10-13 - 2013-10-19,57,51,30,58,22
2013-10-20 - 2013-10-26,66,52,31,58,22
2013-10-27 - 2013-11-02,64,54,29,58,20
2013-11-03 - 2013-11-09,68,54,25,57,20
2013-11-10 - 2013-11-16,73,52,25,60,21
2013-11-17 - 2013-11-23,78,54,27,60,20
2013-11-24 - 2013-11-30,40,40,20,54,15
2013-12-01 - 2013-12-07,71,54,25,60,21
2013-12-08 - 2013-12-14,66,52,20,65,23
2013-12-15 - 2013-12-21,51,44,20,68,28
2013-12-22 - 2013-12-28,10,31,16,74,32
2013-12-29 - 2014-01-04,17,31,18,78,42
2014-01-05 - 2014-01-11,51,41,14,73,50
2014-01-12 - 2014-01-18,66,47,21,73,51
2014-01-19 - 2014-01-25,56,44,21,73,44
2014-01-26 - 2014-02-01,53,48,19,71,39
2014-02-02 - 2014-02-08,61,48,17,69,32
2014-02-09 - 2014-02-15,60,53,21,68,28
2014-02-16 - 2014-02-22,59,50,21,66,25
2014-02-23 - 2014-03-01,70,57,24,67,24
,,,,,
,,,,,
Top subregions for water pollution,,,,,
Subregion,water pollution,malaria,malaria vaccine,fever,influenza
Connecticut,100,100,100,100,100
Iowa,91,88,46,99,70
Hawaii,90,82,37,98,61
North Carolina,85,71,35,94,55
West Virginia,81,67,29,93,49
Maine,80,67,28,92,46
Wisconsin,79,66,0,91,45
Maryland,78,66,0,90,38
Idaho,75,66,0,90,37
Michigan,74,65,0,89,32
Indiana,74,64,0,87,31
New Hampshire,74,63,0,85,31
Georgia,74,63,0,84,30
Pennsylvania,67,62,0,83,30
South Carolina,66,62,0,82,28
Ohio,66,62,0,80,27
Kentucky,66,61,0,79,26
New Mexico,66,61,0,79,26
Virginia,62,59,0,78,25
New Jersey,62,59,0,78,25
Florida,59,59,0,78,24
Arizona,59,59,0,78,24
Alabama,58,58,0,78,23
Arkansas,58,58,0,77,23
Louisiana,56,57,0,77,23
Colorado,55,57,0,77,23
Mississippi,54,57,0,77,22
Minnesota,53,56,0,76,21
Kansas,52,56,0,76,21
Oregon,51,56,0,76,21
Washington,49,56,0,75,21
Utah,49,55,0,75,20
Tennessee,49,54,0,74,20
Texas,48,54,0,73,20
Illinois,46,52,0,73,20
California,46,52,0,73,20
New York,46,52,0,73,20
Missouri,45,52,0,72,20
Massachusetts,44,51,0,72,20
Oklahoma,44,51,0,72,20
District of Columbia,44,51,0,72,19
Nevada,42,51,0,71,19
Alaska,0,50,0,71,19
Delaware,0,50,0,71,19
Montana,0,50,0,70,19
North Dakota,0,49,0,70,19
Nebraska,0,49,0,70,18
Rhode Island,0,48,0,70,17
South Dakota,0,48,0,70,17
Vermont,0,44,0,70,16
Wyoming,0,0,0,61,16
,,,,,
,,,,,
Top metros for water pollution,,,,,
Metro,water pollution,malaria,,fever,influenza
Atlanta GA,100,100,,100,100
Philadelphia PA,96,98,malaria vaccine,95,79
Washington DC (Hagerstown MD),79,88,100,90,73
New York NY,75,80,,87,66
Boston MA-Manchester NH,74,75,,85,64
Chicago IL,67,75,,82,59
San Francisco-Oakland-San Jose CA,65,71,,82,56
Los Angeles CA,63,69,100,81,54
Portland-Auburn ME,0,69,45,81,54
Binghamton NY,0,69,35,80,54
Macon GA,0,67,30,80,53
Detroit MI,0,67,25,79,52
Savannah GA,0,66,25,79,50
Pittsburgh PA,0,65,25,79,50
Ft. Wayne IN,0,64,20,79,48
Cleveland-Akron (Canton) OH,0,63,,78,48
Baltimore MD,0,59,,78,48
Flint-Saginaw-Bay City MI,0,58,,78,47
Buffalo NY,0,58,,78,47
Cincinnati OH,0,58,+100%,77,47
Erie PA,0,57,+80%,77,46
Charlotte NC,0,56,+70%,77,44
Greensboro-High Point-Winston Salem NC,0,55,+70%,77,44
Charleston SC,0,54,+50%,77,44
Augusta GA,0,54,+50%,76,43
Providence RI-New Bedford MA,0,52,+40%,76,43
Columbus GA,0,51,,76,42
Burlington VT-Plattsburgh NY,0,50,,76,41
Albany GA,0,0,,76,41
Utica NY,0,0,,76,40
Indianapolis IN,0,0,,75,39
Miami-Ft. Lauderdale FL,0,0,,75,37
Louisville KY,0,0,,75,36
Tallahassee FL-Thomasville GA,0,0,,75,35
Tri-Cities TN-VA,0,0,,75,35
Albany-Schenectady-Troy NY,0,0,,74,0
Hartford & New Haven CT,0,0,,74,0
Orlando-Daytona Beach-Melbourne FL,0,0,,74,0
Columbus OH,0,0,,73,0
Youngstown OH,0,0,,72,0
Bangor ME,0,0,,72,0
Rochester NY,0,0,,71,0
Tampa-St. Petersburg (Sarasota) FL,0,0,,71,0
Traverse City-Cadillac MI,0,0,,71,0
Lexington KY,0,0,,71,0
Dayton OH,0,0,,71,0
Springfield-Holyoke MA,0,0,,71,0
Norfolk-Portsmouth-Newport News VA,0,0,,70,0
Greenville-New Bern-Washington NC,0,0,,70,0
Columbia SC,0,0,,70,0
Toledo OH,0,0,,70,0
West Palm Beach-Ft. Pierce FL,0,0,,70,0
Watertown NY,0,0,,70,0
Wilmington NC,0,0,,70,0
Lansing MI,0,0,,69,0
Presque Isle ME,0,0,,69,0
Marquette MI,0,0,,69,0
Wheeling WV-Steubenville OH,0,0,,69,0
Syracuse NY,0,0,,69,0
Richmond-Petersburg VA,0,0,,69,0
Knoxville TN,0,0,,68,0
Lima OH,0,0,,68,0
Bluefield-Beckley-Oak Hill WV,0,0,,68,0
Raleigh-Durham (Fayetteville) NC,0,0,,68,0
Jacksonville FL,0,0,,68,0
Grand Rapids-Kalamazoo-Battle Creek MI,0,0,,67,0
Charleston-Huntington WV,0,0,,67,0
Elmira NY,0,0,,67,0
