Web Search interest: fever
United States Dec 2010 - Feb 2014

Interest over time
Week,fever
2010-12-05 - 2010-12-11,50
2010-12-12 - 2010-12-18,52
2010-12-19 - 2010-12-25,52
2010-12-26 - 2011-01-01,57
2011-01-02 - 2011-01-08,62
2011-01-09 - 2011-01-15,63
2011-01-16 - 2011-01-22,68
2011-01-23 - 2011-01-29,70
2011-01-30 - 2011-02-05,73
2011-02-06 - 2011-02-12,75
2011-02-13 - 2011-02-19,87
2011-02-20 - 2011-02-26,83
2011-02-27 - 2011-03-05,74
2011-03-06 - 2011-03-12,70
2011-03-13 - 2011-03-19,66
2011-03-20 - 2011-03-26,68
2011-03-27 - 2011-04-02,67
2011-04-03 - 2011-04-09,65
2011-04-10 - 2011-04-16,63
2011-04-17 - 2011-04-23,60
2011-04-24 - 2011-04-30,60
2011-05-01 - 2011-05-07,58
2011-05-08 - 2011-05-14,60
2011-05-15 - 2011-05-21,59
2011-05-22 - 2011-05-28,58
2011-05-29 - 2011-06-04,60
2011-06-05 - 2011-06-11,60
2011-06-12 - 2011-06-18,56
2011-06-19 - 2011-06-25,57
2011-06-26 - 2011-07-02,55
2011-07-03 - 2011-07-09,56
2011-07-10 - 2011-07-16,54
2011-07-17 - 2011-07-23,53
2011-07-24 - 2011-07-30,52
2011-07-31 - 2011-08-06,52
2011-08-07 - 2011-08-13,50
2011-08-14 - 2011-08-20,51
2011-08-21 - 2011-08-27,51
2011-08-28 - 2011-09-03,53
2011-09-04 - 2011-09-10,53
2011-09-11 - 2011-09-17,57
2011-09-18 - 2011-09-24,58
2011-09-25 - 2011-10-01,59
2011-10-02 - 2011-10-08,57
2011-10-09 - 2011-10-15,56
2011-10-16 - 2011-10-22,56
2011-10-23 - 2011-10-29,57
2011-10-30 - 2011-11-05,59
2011-11-06 - 2011-11-12,58
2011-11-13 - 2011-11-19,61
2011-11-20 - 2011-11-26,56
2011-11-27 - 2011-12-03,58
2011-12-04 - 2011-12-10,56
2011-12-11 - 2011-12-17,57
2011-12-18 - 2011-12-24,55
2011-12-25 - 2011-12-31,57
2012-01-01 - 2012-01-07,60
2012-01-08 - 2012-01-14,61
2012-01-15 - 2012-01-21,60
2012-01-22 - 2012-01-28,62
2012-01-29 - 2012-02-04,63
2012-02-05 - 2012-02-11,66
2012-02-12 - 2012-02-18,64
2012-02-19 - 2012-02-25,66
2012-02-26 - 2012-03-03,65
2012-03-04 - 2012-03-10,71
2012-03-11 - 2012-03-17,67
2012-03-18 - 2012-03-24,64
2012-03-25 - 2012-03-31,63
2012-04-01 - 2012-04-07,63
2012-04-08 - 2012-04-14,66
2012-04-15 - 2012-04-21,68
2012-04-22 - 2012-04-28,63
2012-04-29 - 2012-05-05,62
2012-05-06 - 2012-05-12,61
2012-05-13 - 2012-05-19,61
2012-05-20 - 2012-05-26,64
2012-05-27 - 2012-06-02,62
2012-06-03 - 2012-06-09,59
2012-06-10 - 2012-06-16,60
2012-06-17 - 2012-06-23,58
2012-06-24 - 2012-06-30,56
2012-07-01 - 2012-07-07,54
2012-07-08 - 2012-07-14,55
2012-07-15 - 2012-07-21,54
2012-07-22 - 2012-07-28,54
2012-07-29 - 2012-08-04,53
2012-08-05 - 2012-08-11,52
2012-08-12 - 2012-08-18,54
2012-08-19 - 2012-08-25,56
2012-08-26 - 2012-09-01,56
2012-09-02 - 2012-09-08,57
2012-09-09 - 2012-09-15,57
2012-09-16 - 2012-09-22,57
2012-09-23 - 2012-09-29,59
2012-09-30 - 2012-10-06,59
2012-10-07 - 2012-10-13,59
2012-10-14 - 2012-10-20,100
2012-10-21 - 2012-10-27,69
2012-10-28 - 2012-11-03,59
2012-11-04 - 2012-11-10,59
2012-11-11 - 2012-11-17,61
