Web Search interest: measles
United States Nov 2010 - Mar 2014

Interest over time
Week,measles
2010-11-07 - 2010-11-13,20
2010-11-14 - 2010-11-20,20
2010-11-21 - 2010-11-27,16
2010-11-28 - 2010-12-04,21
2010-12-05 - 2010-12-11,18
2010-12-12 - 2010-12-18,16
2010-12-19 - 2010-12-25,13
2010-12-26 - 2011-01-01,14
2011-01-02 - 2011-01-08,24
2011-01-09 - 2011-01-15,20
2011-01-16 - 2011-01-22,19
2011-01-23 - 2011-01-29,20
2011-01-30 - 2011-02-05,25
2011-02-06 - 2011-02-12,25
2011-02-13 - 2011-02-19,26
2011-02-20 - 2011-02-26,43
2011-02-27 - 2011-03-05,81
2011-03-06 - 2011-03-12,30
2011-03-13 - 2011-03-19,25
2011-03-20 - 2011-03-26,28
2011-03-27 - 2011-04-02,27
2011-04-03 - 2011-04-09,40
2011-04-10 - 2011-04-16,38
2011-04-17 - 2011-04-23,36
2011-04-24 - 2011-04-30,39
2011-05-01 - 2011-05-07,39
2011-05-08 - 2011-05-14,40
2011-05-15 - 2011-05-21,32
2011-05-22 - 2011-05-28,49
2011-05-29 - 2011-06-04,48
2011-06-05 - 2011-06-11,35
2011-06-12 - 2011-06-18,32
2011-06-19 - 2011-06-25,28
2011-06-26 - 2011-07-02,25
2011-07-03 - 2011-07-09,24
2011-07-10 - 2011-07-16,23
2011-07-17 - 2011-07-23,23
2011-07-24 - 2011-07-30,25
2011-07-31 - 2011-08-06,20
2011-08-07 - 2011-08-13,20
2011-08-14 - 2011-08-20,21
2011-08-21 - 2011-08-27,23
2011-08-28 - 2011-09-03,21
2011-09-04 - 2011-09-10,25
2011-09-11 - 2011-09-17,28
2011-09-18 - 2011-09-24,28
2011-09-25 - 2011-10-01,24
2011-10-02 - 2011-10-08,23
2011-10-09 - 2011-10-15,23
2011-10-16 - 2011-10-22,23
2011-10-23 - 2011-10-29,28
2011-10-30 - 2011-11-05,23
2011-11-06 - 2011-11-12,24
2011-11-13 - 2011-11-19,23
2011-11-20 - 2011-11-26,19
2011-11-27 - 2011-12-03,26
2011-12-04 - 2011-12-10,24
2011-12-11 - 2011-12-17,21
2011-12-18 - 2011-12-24,16
2011-12-25 - 2011-12-31,16
2012-01-01 - 2012-01-07,18
2012-01-08 - 2012-01-14,19
2012-01-15 - 2012-01-21,20
2012-01-22 - 2012-01-28,24
2012-01-29 - 2012-02-04,24
2012-02-05 - 2012-02-11,51
2012-02-12 - 2012-02-18,50
2012-02-19 - 2012-02-25,37
2012-02-26 - 2012-03-03,31
2012-03-04 - 2012-03-10,24
2012-03-11 - 2012-03-17,24
2012-03-18 - 2012-03-24,28
2012-03-25 - 2012-03-31,24
2012-04-01 - 2012-04-07,23
2012-04-08 - 2012-04-14,26
2012-04-15 - 2012-04-21,44
2012-04-22 - 2012-04-28,35
2012-04-29 - 2012-05-05,29
2012-05-06 - 2012-05-12,26
2012-05-13 - 2012-05-19,28
2012-05-20 - 2012-05-26,25
2012-05-27 - 2012-06-02,25
2012-06-03 - 2012-06-09,23
2012-06-10 - 2012-06-16,22
2012-06-17 - 2012-06-23,21
2012-06-24 - 2012-06-30,21
2012-07-01 - 2012-07-07,21
2012-07-08 - 2012-07-14,22
2012-07-15 - 2012-07-21,22
2012-07-22 - 2012-07-28,21
2012-07-29 - 2012-08-04,19
2012-08-05 - 2012-08-11,21
2012-08-12 - 2012-08-18,20
2012-08-19 - 2012-08-25,20
2012-08-26 - 2012-09-01,22
2012-09-02 - 2012-09-08,22
2012-09-09 - 2012-09-15,22
2012-09-16 - 2012-09-22,22
2012-09-23 - 2012-09-29,24
2012-09-30 - 2012-10-06,21
2012-10-07 - 2012-10-13,21
