Disease,"Offset(wiki,gt)",flu,haemophilus,flu,Hepatitis_A,flu,Hepatitis_C,flu,Listerosis,flu,Lyme,flu,Malaria,flu,Measles,flu,Pertussis,flu,Q-Fever,flu,Typhoid-Fever
Haemophilus,"-16,-1",0.1162689215,0.6695931376,0.1224732312,1.2274263172,0.1256615542,0.9594032662,0.0982309429,0.6745702531,0.0840807959,0.5990109441,0.1630147923,1.0781325534,0.0639434969,0.0206501924,0.0846953847,0.5254066402,0.1332892841,1.1142550056,0.1557924525,0.9542274557
Haemophilus,"-16,-2",0.1251425069,0.720265679,0.1602119678,1.194929895,0.1695460063,0.9505450046,0.1494990818,1.1280330182,0.1107732399,0.5824761113,0.1609172362,1.0350371166,0.1153755618,0.01881374,0.1188106293,0.5752687672,0.1764675983,1.0964401456,0.1740241468,0.9426230085
Haemophilus,"-18,0",0.1237440571,0.6910753103,0.1650455309,1.2920245564,0.1265594359,0.9776245266,0.1217256655,0.8687467648,0.0979520433,0.5988478216,0.1488329874,1.0743188535,0.1144748631,0.0197757704,0.1125925594,0.6198310768,0.1421417804,1.1213468148,0.1348805968,0.9466278028
Haemophilus,"-18,-1",0.1082993569,0.6691855791,0.132905583,1.220085202,0.1226244728,0.960578416,0.0783765354,0.6589429487,0.0701586503,0.5205007409,0.1500792496,1.1108117368,0.0797871821,0.020017987,0.0779224926,0.5244013409,0.1255258713,1.1182965836,0.1509316506,0.9599659357
Haemophilus,"-18,-2",0.1210994882,0.7126504884,0.1493291872,1.2034611968,0.1688816817,0.9434105815,0.1378404165,1.0699737161,0.0988250036,0.5373639635,0.1594247245,1.0346374354,0.1129085448,0.0193752728,0.1151498533,0.5571253676,0.1534713487,1.1042180748,0.1505856592,0.9468678841
Haemophilus,"-20,0",0.1108909074,0.6849870072,0.1363272031,1.1998271928,0.1192468129,0.9912361309,0.1115250756,0.8101305322,0.0974932263,0.6155764117,0.1341409504,1.0468141122,0.1037039759,0.0201913562,0.1050286137,0.6003162872,0.1507100323,1.117481412,0.1214536773,0.9485849424
Haemophilus,"-20,-1",0.0958410911,0.690205053,0.1240456222,1.192744249,0.1195931361,0.9664834531,0.0771771845,0.6451952029,0.0840854456,0.6033662919,0.1380946958,1.0571023942,0.0723119891,0.0204266767,0.0634976745,0.5127292414,0.1261867,1.1199199878,0.1410146366,0.9592355773
Haemophilus,"-20,-2",0.125790601,0.7258334874,0.1399891931,1.1665205023,0.1570617193,0.9504806949,0.1376293834,0.940179671,0.1045245463,0.5603514162,0.1512314994,1.0059040389,0.0991859339,0.0199564873,0.1041939063,0.5344409117,0.1527106892,1.0910200836,0.1483151727,0.9484850504
Haemophilus,"-21,0",0.1088016809,0.6821944558,0.1283276597,1.1974133765,0.1165757125,0.9868986493,0.1098379779,0.7611576335,0.0970224569,0.5965567768,0.132392083,1.0461007913,0.1046914139,0.0201924725,0.1019998013,0.5926592898,0.1374724511,1.1171839016,0.1184036323,0.9490084632
Haemophilus,"-21,-1",0.0979757938,0.6520870758,0.125685276,1.1662643773,0.1140890535,0.9640536612,0.0813672142,0.6308335393,0.0805462355,0.5935282368,0.1339044231,1.0478618285,0.0790339635,0.0204335213,0.0594744708,0.5013543455,0.1119130167,1.1234320004,0.1311006063,0.9592944122
Haemophilus,"-21,-2",0.1271290157,0.6852800863,0.1364902022,1.1461145032,0.1543104338,0.945348519,0.1431733706,0.9689212897,0.1043778771,0.5532424695,0.1507300234,1.0004405512,0.1090184071,0.0200486034,0.1031770946,0.528482652,0.1541279628,1.0846034201,0.1469509571,0.9473974092
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
Typhoid-Fever,,,,,,,,,,,,,,,,,,,,,
