-21,0.7353828,,,,,,,
-20,0.743574,,,,,,,
-19,0.750138,,,,,,,orjinal
-18,0.769639,,,,,,,0.753828
-17,0.762173,,,,,,,0.763574
-16,0.77955,,,,,,,0.770138
-15,0.78632,,,,,,,0.789639
-14,0.783776,,,,,,,0.792173
-13,0.794214,,,,,,,0.80955
-12,0.809694,,,,,,,0.83632
-11,0.815683,,,,,,,0.823776
-10,0.8283254963,,,,,,,0.824214
-9,0.8329424011,,,,,,,0.829694
-8,0.8428633815,,,,,,,0.835683
-7,0.8563567694,,,,,,,0.8383254963
-6,0.8573095648,,,,,,,0.8329424011
-5,0.8639568582,,,,,,,0.8428633815
-4,0.8605387915,,,,,,,0.8563567694
-3,0.8575996696,,,,,,,0.8573095648
-2,0.8550990601,,,,,,,0.8639568582
-1,0.8444752127,,,,,,,0.8605387915
0,0.8360847635,,,,,,,0.8575996696
1,0.8403188432,,,,,,,0.8550990601
2,0.8354720485,,,,,,,0.8444752127
3,0.7991607283,,,,,,,0.8360847635
4,0.8027073798,,,,,,,0.8403188432
5,0.804261,,,,,,,0.8354720485
6,0.80244,,,,,,,0.7991607283
7,0.79427,,,,,,,0.8027073798
,,,,,,,,0.804261
,,,,,,,,0.80244
,,,,,,,,0.79427
