"date","Pertussis","Pathogenic_bacteria","Common_cold","Fever","Bordetella_pertussis","Airborne_disease","Pertussis_vaccine","Paroxysmal_attack","Syncope_(medicine)","Lymphocytosis"
"2010-05-23","969.0","261.0","1788.0","3228.0","190.0","42.0","30.0","96.0","1044.0","208.0"
"2010-05-24","1699.0","327.0","1998.0","3425.0","274.0","52.0","29.0","87.0","1240.0","239.0"
"2010-05-25","1619.0","448.0","2195.0","3508.0","259.0","82.0","28.0","128.0","1190.0","268.0"
"2010-05-26","1585.0","421.0","2239.0","3501.0","282.0","71.0","26.0","105.0","1232.0","317.0"
"2010-05-27","1333.0","385.0","1914.0","2994.0","234.0","42.0","19.0","97.0","1060.0","300.0"
"2010-05-28","1078.0","307.0","1436.0","2546.0","145.0","48.0","26.0","82.0","922.0","192.0"
"2010-05-29","1100.0","246.0","1529.0","3001.0","157.0","41.0","19.0","67.0","899.0","169.0"
"2010-05-30","1119.0","284.0","1534.0","2762.0","166.0","36.0","24.0","92.0","889.0","135.0"
"2010-05-31","1978.0","300.0","1663.0","3137.0","209.0","46.0","22.0","90.0","959.0","194.0"
"2010-06-01","2752.0","424.0","1814.0","3341.0","268.0","33.0","19.0","90.0","1121.0","262.0"
"2010-06-02","2004.0","436.0","1914.0","3571.0","246.0","52.0","30.0","84.0","1214.0","323.0"
"2010-06-03","1994.0","427.0","2046.0","3288.0","310.0","30.0","33.0","98.0","1175.0","284.0"
"2010-06-04","1909.0","347.0","1811.0","3141.0","189.0","47.0","29.0","92.0","1157.0","257.0"
