"date","Meningococcal_disease","Saliva","Neisseria_meningitidis","Meningitis","Meningococcal_vaccine","Common_cold","Gram-negative_bacteria","Disseminated_intravascular_coagulation","Sepsis","Rash"
"2010-01-21","327.0","1118.0","448.0","5029.0","55.0","2880.0","1712.0","1272.0","4310.0","2516.0"
"2010-01-22","364.0","964.0","476.0","4973.0","64.0","2886.0","1563.0","1198.0","4363.0","2237.0"
"2010-01-23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-25","418.0","1180.0","511.0","5682.0","71.0","2925.0","1738.0","1399.0","3294.0","2508.0"
"2010-01-26","391.0","1284.0","550.0","5317.0","65.0","2989.0","1763.0","1392.0","3421.0","2228.0"
"2010-01-27","320.0","1160.0","544.0","5411.0","76.0","3028.0","1961.0","1498.0","3216.0","2293.0"
"2010-01-28","288.0","1087.0","540.0","5249.0","74.0","3049.0","1821.0","1390.0","3503.0","2165.0"
"2010-01-29","281.0","1027.0","393.0","4718.0","60.0","2697.0","1472.0","1058.0","3479.0","2015.0"
"2010-01-30","333.0","954.0","330.0","4115.0","55.0","2289.0","1086.0","878.0","2889.0","2220.0"
"2010-01-31","264.0","1103.0","381.0","4198.0","44.0","2770.0","1397.0","1039.0","2726.0","2446.0"
"2010-02-01","481.0","1150.0","653.0","5519.0","63.0","3295.0","2109.0","1248.0","3457.0","2483.0"
"2010-02-02","465.0","1339.0","534.0","5996.0","80.0","3436.0","2091.0","1285.0","3567.0","2607.0"
"2010-02-03","512.0","1276.0","645.0","5873.0","91.0","3229.0","2285.0","1251.0","3538.0","2350.0"
"2010-02-04","490.0","1332.0","580.0","6582.0","77.0","3392.0","2297.0","1381.0","3826.0","2481.0"
"2010-02-05","400.0","1279.0","527.0","5377.0","101.0","2914.0","1766.0","1044.0","3544.0","2197.0"
"2010-02-06","320.0","1056.0","363.0","4166.0","64.0","2493.0","1278.0","1044.0","2725.0","1992.0"
"2010-02-07","335.0","1104.0","400.0","4454.0","55.0","2941.0","1469.0","1022.0","2743.0","2148.0"
"2010-02-08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-02-09","388.0","1213.0","552.0","5769.0","93.0","3141.0","2125.0","1224.0","3529.0","2439.0"
"2010-02-10","391.0","1213.0","548.0","5506.0","75.0","3153.0","1968.0","1258.0","3465.0","2335.0"
"2010-02-11","429.0","1152.0","491.0","5439.0","56.0","3158.0","2029.0","1238.0","3169.0","2291.0"
"2010-02-12","350.0","1068.0","433.0","5104.0","53.0","2782.0","1524.0","1031.0","2931.0","2452.0"
"2010-02-13","263.0","888.0","336.0","4134.0","33.0","2254.0","1025.0","769.0","2394.0","2038.0"
"2010-02-14","280.0","904.0","323.0","4163.0","32.0","2279.0","1070.0","876.0","2323.0","2178.0"
"2010-02-15","554.0","1129.0","538.0","5512.0","57.0","3039.0","1664.0","1255.0","3214.0","2564.0"
"2010-02-16","419.0","1211.0","519.0","5731.0","75.0","2906.0","1933.0","1266.0","3174.0","2623.0"
"2010-02-17","357.0","1298.0","472.0","5516.0","75.0","3192.0","1937.0","1179.0","3347.0","2829.0"
"2010-02-18","496.0","1249.0","521.0","6261.0","68.0","3380.0","1942.0","1238.0","3371.0","2684.0"
"2010-02-19","322.0","1003.0","420.0","5329.0","62.0","2717.0","1566.0","1048.0","3058.0","2439.0"
"2010-02-20","323.0","998.0","423.0","4481.0","51.0","2346.0","1186.0","911.0","2527.0","2508.0"
"2010-02-21","392.0","1253.0","450.0","4841.0","57.0","2625.0","1488.0","1085.0","3062.0","2473.0"
"2010-02-22","448.0","1285.0","685.0","6153.0","74.0","3633.0","2077.0","1355.0","5154.0","2981.0"
"2010-02-23","0.0","0.0","0.0","0.0","0.0","3343.0","2187.0","1326.0","0.0","0.0"
"2010-02-24","428.0","1283.0","541.0","5512.0","72.0","3151.0","2044.0","1220.0","3620.0","2506.0"
"2010-02-25","390.0","1061.0","721.0","5079.0","59.0","2755.0","1749.0","1160.0","2837.0","2194.0"
"2010-02-26","378.0","1066.0","659.0","5085.0","64.0","2560.0","1523.0","1175.0","2729.0","2213.0"
"2010-02-27","310.0","1057.0","442.0","4566.0","37.0","2448.0","1490.0","1017.0","2477.0","2223.0"
"2010-02-28","323.0","1105.0","429.0","4059.0","29.0","2293.0","1587.0","1077.0","2387.0","2199.0"
"2010-03-01","381.0","1130.0","608.0","5229.0","63.0","2825.0","2719.0","1158.0","3283.0","2375.0"
"2010-03-02","379.0","1244.0","615.0","5840.0","70.0","3056.0","3611.0","1290.0","3288.0","2642.0"
"2010-03-03","394.0","1254.0","573.0","5583.0","85.0","2946.0","2197.0","1254.0","3258.0","2431.0"
"2010-03-04","381.0","1246.0","633.0","5755.0","54.0","2996.0","2158.0","1306.0","3421.0","2525.0"
"2010-03-05","522.0","1260.0","504.0","5913.0","92.0","2976.0","1690.0","1255.0","3232.0","2583.0"
"2010-03-06","354.0","961.0","332.0","4105.0","37.0","2175.0","1148.0","985.0","2390.0","2273.0"
"2010-03-07","317.0","1101.0","381.0","4140.0","27.0","2423.0","1251.0","1091.0","2509.0","2187.0"
"2010-03-08","353.0","1280.0","646.0","5272.0","62.0","2832.0","1825.0","1251.0","3197.0","2833.0"
"2010-03-09","397.0","1192.0","630.0","5688.0","72.0","3049.0","2726.0","1332.0","3352.0","2723.0"
"2010-03-10","323.0","1228.0","557.0","5487.0","75.0","2880.0","1840.0","1367.0","3265.0","2454.0"
"2010-03-11","409.0","1201.0","610.0","6441.0","89.0","2730.0","1872.0","1219.0","3113.0","2449.0"
"2010-03-12","601.0","1157.0","706.0","7809.0","101.0","2622.0","1683.0","1273.0","3215.0","2505.0"
"2010-03-13","390.0","998.0","432.0","5426.0","67.0","2324.0","1079.0","999.0","5940.0","2288.0"
"2010-03-14","437.0","1093.0","470.0","4727.0","63.0","2186.0","1285.0","904.0","2375.0","2294.0"
"2010-03-15","406.0","1164.0","554.0","5729.0","69.0","2598.0","1689.0","1109.0","3104.0","2384.0"
"2010-03-16","433.0","1299.0","604.0","6247.0","86.0","2790.0","1831.0","1165.0","3188.0","2662.0"
"2010-03-17","399.0","1297.0","588.0","5789.0","77.0","2685.0","1847.0","1169.0","3073.0","2594.0"
"2010-03-18","387.0","1227.0","610.0","5694.0","82.0","2510.0","1686.0","1122.0","3163.0","2584.0"
"2010-03-19","368.0","1177.0","517.0","5160.0","85.0","2358.0","1547.0","1068.0","3001.0","2519.0"
"2010-03-20","242.0","895.0","325.0","4213.0","46.0","1918.0","1044.0","876.0","2349.0","2271.0"
"2010-03-21","265.0","1006.0","448.0","4585.0","58.0","1983.0","1257.0","967.0","2448.0","2491.0"
"2010-03-22","421.0","1096.0","590.0","5675.0","71.0","2596.0","1810.0","1142.0","3116.0","2921.0"
"2010-03-23","518.0","1086.0","639.0","5961.0","55.0","2593.0","1918.0","1183.0","5578.0","2705.0"
"2010-03-24","379.0","1260.0","610.0","5903.0","74.0","2574.0","1826.0","1214.0","4019.0","2612.0"
"2010-03-25","430.0","1204.0","516.0","5666.0","69.0","2281.0","1835.0","1142.0","3448.0","2493.0"
