"Week","influenza","haemophilus","hepatitis"
"2010-12-05 - 2010-12-11","0.159574468085106","0.789473684210526","0.159420289855073"
"2010-12-12 - 2010-12-18","0.148936170212766","0.868421052631579","0.130434782608696"
"2010-12-19 - 2010-12-25","0.106382978723404","0.210526315789474","0.0144927536231884"
"2010-12-26 - 2011-01-01","0.117021276595745","0.315789473684211","0.0144927536231884"
"2011-01-02 - 2011-01-08","0.180851063829787","0.526315789473684","0.217391304347826"
"2011-01-09 - 2011-01-15","0.170212765957447","0.578947368421053","0.130434782608696"
"2011-01-16 - 2011-01-22","0.223404255319149","0.631578947368421","0.202898550724638"
"2011-01-23 - 2011-01-29","0.297872340425532","0.723684210526316","0.173913043478261"
"2011-01-30 - 2011-02-05","0.287234042553192","0.789473684210526","0.130434782608696"
"2011-02-06 - 2011-02-12","0.329787234042553","0.802631578947368","0.173913043478261"
"2011-02-13 - 2011-02-19","0.372340425531915","0.710526315789474","0.159420289855073"
"2011-02-20 - 2011-02-26","0.340425531914894","0.789473684210526","0.159420289855073"
"2011-02-27 - 2011-03-05","0.308510638297872","0.723684210526316","0.173913043478261"
"2011-03-06 - 2011-03-12","0.25531914893617","0.736842105263158","0.202898550724638"
"2011-03-13 - 2011-03-19","0.202127659574468","0.644736842105263","0.188405797101449"
"2011-03-20 - 2011-03-26","0.170212765957447","0.828947368421053","0.159420289855073"
"2011-03-27 - 2011-04-02","0.138297872340426","0.592105263157895","0.217391304347826"
"2011-04-03 - 2011-04-09","0.127659574468085","0.776315789473684","0.231884057971015"
"2011-04-10 - 2011-04-16","0.117021276595745","0.894736842105263","0.217391304347826"
"2011-04-17 - 2011-04-23","0.0851063829787234","0.907894736842105","0.188405797101449"
"2011-04-24 - 2011-04-30","0.0851063829787234","0.973684210526316","0.246376811594203"
"2011-05-01 - 2011-05-07","0.074468085106383","1.0","0.217391304347826"
"2011-05-08 - 2011-05-14","0.0638297872340425","0.868421052631579","0.217391304347826"
"2011-05-15 - 2011-05-21","0.0638297872340425","0.592105263157895","0.202898550724638"
"2011-05-22 - 2011-05-28","0.0319148936170213","0.815789473684211","0.202898550724638"
"2011-05-29 - 2011-06-04","0.0319148936170213","0.460526315789474","0.159420289855073"
