"Week","hepatitis c","hepatitis c symptoms","hepatitis","symptoms of hepatitis c","influenza"
"2012-02-05 - 2012-02-11","0.222222222222222","0.185185185185185","0.202898550724638","0.43","0.127659574468085"
"2012-02-12 - 2012-02-18","0.194444444444445","0.160493827160494","0.173913043478261","0.33","0.191489361702128"
"2012-02-19 - 2012-02-25","0.583333333333333","0.62962962962963","0.376811594202899","0.6","0.191489361702128"
"2012-02-26 - 2012-03-03","0.263888888888889","0.209876543209877","0.231884057971015","0.41","0.202127659574468"
"2012-03-04 - 2012-03-10","0.263888888888889","0.222222222222222","0.231884057971015","0.34","0.223404255319149"
"2012-03-11 - 2012-03-17","0.236111111111111","0.246913580246914","0.202898550724638","0.3","0.212765957446808"
"2012-03-18 - 2012-03-24","0.180555555555556","0.209876543209877","0.173913043478261","0.26","0.191489361702128"
"2012-03-25 - 2012-03-31","0.222222222222222","0.197530864197531","0.231884057971015","0.38","0.159574468085106"
"2012-04-01 - 2012-04-07","0.222222222222222","0.308641975308642","0.188405797101449","0.34","0.117021276595745"
"2012-04-08 - 2012-04-14","0.25","0.209876543209877","0.202898550724638","0.35","0.127659574468085"
"2012-04-15 - 2012-04-21","0.25","0.209876543209877","0.217391304347826","0.33","0.117021276595745"
"2012-04-22 - 2012-04-28","0.208333333333333","0.296296296296296","0.202898550724638","0.44","0.106382978723404"
"2012-04-29 - 2012-05-05","0.222222222222222","0.246913580246914","0.217391304347826","0.37","0.106382978723404"
"2012-05-06 - 2012-05-12","0.208333333333333","0.246913580246914","0.217391304347826","0.36","0.0957446808510638"
"2012-05-13 - 2012-05-19","0.416666666666667","0.592592592592593","0.304347826086957","0.68","0.074468085106383"
"2012-05-20 - 2012-05-26","0.388888888888889","0.45679012345679","0.27536231884058","0.52","0.0531914893617021"
"2012-05-27 - 2012-06-02","0.236111111111111","0.259259259259259","0.173913043478261","0.38","0.0425531914893618"
"2012-06-03 - 2012-06-09","0.222222222222222","0.17283950617284","0.188405797101449","0.21","0.0319148936170213"
"2012-06-10 - 2012-06-16","0.277777777777778","0.234567901234568","0.202898550724638","0.39","0.0319148936170213"
"2012-06-17 - 2012-06-23","0.277777777777778","0.17283950617284","0.231884057971015","0.48","0.0319148936170213"
"2012-06-24 - 2012-06-30","0.208333333333333","0.160493827160494","0.173913043478261","0.24","0.0212765957446809"
"2012-07-01 - 2012-07-07","0.138888888888889","0.123456790123457","0.115942028985507","0.28","0.0"
"2012-07-08 - 2012-07-14","0.166666666666667","0.148148148148148","0.173913043478261","0.33","0.0106382978723405"
"2012-07-15 - 2012-07-21","0.333333333333333","0.197530864197531","0.246376811594203","0.29","0.0106382978723405"
"2012-07-22 - 2012-07-28","0.541666666666667","0.358024691358025","0.347826086956522","0.46","0.0106382978723405"
"2012-07-29 - 2012-08-04","0.5","0.345679012345679","0.333333333333333","0.49","0.0212765957446809"
"2012-08-05 - 2012-08-11","0.236111111111111","0.148148148148148","0.173913043478261","0.3","0.0212765957446809"
"2012-08-12 - 2012-08-18","1.0","1.0","0.565217391304348","1.0","0.0319148936170213"
"2012-08-19 - 2012-08-25","0.472222222222222","0.382716049382716","0.304347826086957","0.45","0.0425531914893618"
"2012-08-26 - 2012-09-01","0.263888888888889","0.246913580246914","0.202898550724638","0.35","0.0425531914893618"
"2012-09-02 - 2012-09-08","0.208333333333333","0.209876543209877","0.173913043478261","0.33","0.074468085106383"
"2012-09-09 - 2012-09-15","0.222222222222222","0.222222222222222","0.188405797101449","0.3","0.0957446808510638"
"2012-09-16 - 2012-09-22","0.180555555555556","0.148148148148148","0.188405797101449","0.32","0.117021276595745"
"2012-09-23 - 2012-09-29","0.305555555555556","0.222222222222222","0.217391304347826","0.33","0.138297872340426"
"2012-09-30 - 2012-10-06","0.25","0.234567901234568","0.202898550724638","0.34","0.127659574468085"
"2012-10-07 - 2012-10-13","0.166666666666667","0.135802469135803","0.159420289855073","0.25","0.127659574468085"
"2012-10-14 - 2012-10-20","0.263888888888889","0.209876543209877","0.202898550724638","0.3","0.138297872340426"
"2012-10-21 - 2012-10-27","0.208333333333333","0.234567901234568","0.188405797101449","0.35","0.138297872340426"
"2012-10-28 - 2012-11-03","0.194444444444445","0.185185185185185","0.115942028985507","0.32","0.117021276595745"
"2012-11-04 - 2012-11-10","0.125","0.123456790123457","0.115942028985507","0.26","0.127659574468085"
"2012-11-11 - 2012-11-17","0.180555555555556","0.123456790123457","0.173913043478261","0.27","0.159574468085106"
"2012-11-18 - 2012-11-24","0.138888888888889","0.111111111111111","0.0579710144927537","0.26","0.117021276595745"
"2012-11-25 - 2012-12-01","0.194444444444445","0.17283950617284","0.159420289855073","0.3","0.191489361702128"
"2012-12-02 - 2012-12-08","0.180555555555556","0.0987654320987654","0.173913043478261","0.3","0.287234042553192"
"2012-12-09 - 2012-12-15","0.138888888888889","0.160493827160494","0.130434782608696","0.29","0.287234042553192"
"2012-12-16 - 2012-12-22","0.111111111111111","0.111111111111111","0.0579710144927537","0.35","0.361702127659574"
"2012-12-23 - 2012-12-29","0.0694444444444445","0.0740740740740742","0.0","0.38","0.393617021276596"
"2012-12-30 - 2013-01-05","0.0972222222222223","0.0864197530864198","0.0434782608695652","0.29","0.51063829787234"
"2013-01-06 - 2013-01-12","0.125","0.0740740740740742","0.130434782608696","0.24","1.0"
"2013-01-13 - 2013-01-19","0.166666666666667","0.135802469135803","0.144927536231884","0.4","0.797872340425532"
"2013-01-20 - 2013-01-26","0.138888888888889","0.17283950617284","0.115942028985507","0.34","0.553191489361702"
"2013-01-27 - 2013-02-02","0.152777777777778","0.135802469135803","0.159420289855073","0.33","0.436170212765957"
"2013-02-03 - 2013-02-09","0.166666666666667","0.0987654320987654","0.159420289855073","0.33","0.329787234042553"
"2013-02-10 - 2013-02-16","0.138888888888889","0.0987654320987654","0.130434782608696","0.28","0.276595744680851"
"2013-02-17 - 2013-02-23","0.180555555555556","0.123456790123457","0.173913043478261","0.31","0.234042553191489"
"2013-02-24 - 2013-03-02","0.125","0.0864197530864198","0.159420289855073","0.26","0.223404255319149"
"2013-03-03 - 2013-03-09","0.152777777777778","0.0864197530864198","0.144927536231884","0.25","0.202127659574468"
"2013-03-10 - 2013-03-16","0.166666666666667","0.123456790123457","0.144927536231884","0.32","0.180851063829787"
"2013-03-17 - 2013-03-23","0.180555555555556","0.123456790123457","0.173913043478261","0.29","0.148936170212766"
"2013-03-24 - 2013-03-30","0.222222222222222","0.17283950617284","0.217391304347826","0.36","0.148936170212766"
"2013-03-31 - 2013-04-06","0.25","0.185185185185185","0.246376811594203","0.28","0.148936170212766"
"2013-04-07 - 2013-04-13","0.194444444444445","0.148148148148148","0.260869565217391","0.26","0.127659574468085"
"2013-04-14 - 2013-04-20","0.222222222222222","0.17283950617284","0.217391304347826","0.37","0.117021276595745"
"2013-04-21 - 2013-04-27","0.25","0.160493827160494","0.217391304347826","0.39","0.117021276595745"
"2013-04-28 - 2013-05-04","0.194444444444445","0.160493827160494","0.188405797101449","0.37","0.0957446808510638"
"2013-05-05 - 2013-05-11","0.236111111111111","0.197530864197531","0.217391304347826","0.4","0.074468085106383"
"2013-05-12 - 2013-05-18","0.194444444444445","0.135802469135803","0.202898550724638","0.34","0.0531914893617021"
"2013-05-19 - 2013-05-25","0.180555555555556","0.135802469135803","0.159420289855073","0.4","0.0425531914893618"
"2013-05-26 - 2013-06-01","0.180555555555556","0.222222222222222","0.36231884057971","0.33","0.0425531914893618"
"2013-06-02 - 2013-06-08","0.291666666666667","0.283950617283951","1.0","0.49","0.0319148936170213"
"2013-06-09 - 2013-06-15","0.180555555555556","0.160493827160494","0.347826086956522","0.39","0.0319148936170213"
"2013-06-16 - 2013-06-22","0.194444444444445","0.197530864197531","0.246376811594203","0.33","0.0212765957446809"
"2013-06-23 - 2013-06-29","0.291666666666667","0.333333333333333","0.246376811594203","0.49","0.0106382978723405"
"2013-06-30 - 2013-07-06","0.152777777777778","0.148148148148148","0.144927536231884","0.27","0.0106382978723405"
"2013-07-07 - 2013-07-13","0.180555555555556","0.197530864197531","0.173913043478261","0.33","0.0106382978723405"
"2013-07-14 - 2013-07-20","0.152777777777778","0.197530864197531","0.173913043478261","0.35","0.0212765957446809"
"2013-07-21 - 2013-07-27","0.166666666666667","0.148148148148148","0.188405797101449","0.28","0.0212765957446809"
"2013-07-28 - 2013-08-03","0.152777777777778","0.0987654320987654","0.188405797101449","0.4","0.0106382978723405"
"2013-08-04 - 2013-08-10","0.180555555555556","0.160493827160494","0.173913043478261","0.32","0.0106382978723405"
"2013-08-11 - 2013-08-17","0.222222222222222","0.185185185185185","0.188405797101449","0.35","0.0212765957446809"
"2013-08-18 - 2013-08-24","0.180555555555556","0.123456790123457","0.231884057971015","0.34","0.0425531914893618"
"2013-08-25 - 2013-08-31","0.194444444444445","0.123456790123457","0.202898550724638","0.38","0.0638297872340425"
"2013-09-01 - 2013-09-07","0.138888888888889","0.111111111111111","0.130434782608696","0.36","0.0851063829787234"
"2013-09-08 - 2013-09-14","0.152777777777778","0.123456790123457","0.159420289855073","0.31","0.106382978723404"
"2013-09-15 - 2013-09-21","0.180555555555556","0.111111111111111","0.202898550724638","0.3","0.127659574468085"
"2013-09-22 - 2013-09-28","0.180555555555556","0.0987654320987654","0.202898550724638","0.31","0.148936170212766"
"2013-09-29 - 2013-10-05","0.125","0.123456790123457","0.130434782608696","0.33","0.159574468085106"
"2013-10-06 - 2013-10-12","0.138888888888889","0.0864197530864198","0.173913043478261","0.26","0.148936170212766"
"2013-10-13 - 2013-10-19","0.194444444444445","0.111111111111111","0.173913043478261","0.33","0.170212765957447"
"2013-10-20 - 2013-10-26","0.208333333333333","0.123456790123457","0.217391304347826","0.41","0.170212765957447"
"2013-10-27 - 2013-11-02","0.208333333333333","0.0740740740740742","0.202898550724638","0.3","0.148936170212766"
"2013-11-03 - 2013-11-09","0.236111111111111","0.135802469135803","0.231884057971015","0.38","0.148936170212766"
"2013-11-10 - 2013-11-16","0.208333333333333","0.123456790123457","0.202898550724638","0.3","0.148936170212766"
"2013-11-17 - 2013-11-23","0.180555555555556","0.0987654320987654","0.188405797101449","0.39","0.148936170212766"
"2013-11-24 - 2013-11-30","0.0972222222222223","0.0493827160493827","0.072463768115942","0.28","0.0957446808510638"
"2013-12-01 - 2013-12-07","0.277777777777778","0.135802469135803","0.217391304347826","0.37","0.159574468085106"
"2013-12-08 - 2013-12-14","0.180555555555556","0.0864197530864198","0.159420289855073","0.3","0.180851063829787"
"2013-12-15 - 2013-12-21","0.152777777777778","0.111111111111111","0.115942028985507","0.33","0.234042553191489"
"2013-12-22 - 2013-12-28","0.0833333333333334","0.0246913580246915","0.0144927536231884","0.3","0.276595744680851"
"2013-12-29 - 2014-01-04","0.180555555555556","0.123456790123457","0.072463768115942","0.35","0.382978723404255"
"2014-01-05 - 2014-01-11","0.208333333333333","0.111111111111111","0.159420289855073","0.32","0.468085106382979"
"2014-01-12 - 2014-01-18","0.194444444444445","0.111111111111111","0.188405797101449","0.35","0.478723404255319"
"2014-01-19 - 2014-01-25","0.166666666666667","0.0740740740740742","0.144927536231884","0.33","0.404255319148936"
"2014-01-26 - 2014-02-01","0.194444444444445","0.111111111111111","0.159420289855073","0.31","0.351063829787234"
"2014-02-02 - 2014-02-08","0.152777777777778","0.0740740740740742","0.115942028985507","0.31","0.276595744680851"
"2014-02-09 - 2014-02-15","0.152777777777778","0.0617283950617284","0.130434782608696","0.27","0.234042553191489"
"2014-02-16 - 2014-02-22","0.166666666666667","0.0987654320987654","0.130434782608696","0.34","0.202127659574468"
"2014-02-23 - 2014-03-01","0.652777777777778","0.432098765432099","0.420289855072464","0.64","0.191489361702128"
