Week,hepatitis c,hepatitis c symptoms,hepatitis,symptoms of hepatitis c,influenza
2013-03-31 - 2013-04-06,46,34,48,28,20
2013-04-07 - 2013-04-13,42,31,49,26,18
2013-04-14 - 2013-04-20,44,33,46,37,17
2013-04-21 - 2013-04-27,46,32,46,39,17
2013-04-28 - 2013-05-04,42,32,44,37,15
2013-05-05 - 2013-05-11,45,35,46,40,13
2013-05-12 - 2013-05-18,42,30,45,34,11
2013-05-19 - 2013-05-25,41,30,42,40,10
2013-05-26 - 2013-06-01,41,37,56,33,10
2013-06-02 - 2013-06-08,49,42,100,49,9
2013-06-09 - 2013-06-15,41,32,55,39,9
2013-06-16 - 2013-06-22,42,35,48,33,8
2013-06-23 - 2013-06-29,49,46,48,49,7
2013-06-30 - 2013-07-06,39,31,41,27,7
2013-07-07 - 2013-07-13,41,35,43,33,7
2013-07-14 - 2013-07-20,39,35,43,35,8
2013-07-21 - 2013-07-27,40,31,44,28,8
2013-07-28 - 2013-08-03,39,27,44,40,7
2013-08-04 - 2013-08-10,41,32,43,32,7
2013-08-11 - 2013-08-17,44,34,44,35,8
2013-08-18 - 2013-08-24,41,29,47,34,10
2013-08-25 - 2013-08-31,42,29,45,38,12
2013-09-01 - 2013-09-07,38,28,40,36,14
2013-09-08 - 2013-09-14,39,29,42,31,16
2013-09-15 - 2013-09-21,41,28,45,30,18
2013-09-22 - 2013-09-28,41,27,45,31,20
2013-09-29 - 2013-10-05,37,29,40,33,21
2013-10-06 - 2013-10-12,38,26,43,26,20
2013-10-13 - 2013-10-19,42,28,43,33,22
2013-10-20 - 2013-10-26,43,29,46,41,22
2013-10-27 - 2013-11-02,43,25,45,30,20
2013-11-03 - 2013-11-09,45,30,47,38,20
2013-11-10 - 2013-11-16,43,29,45,30,20
2013-11-17 - 2013-11-23,41,27,44,39,20
2013-11-24 - 2013-11-30,35,23,36,28,15
2013-12-01 - 2013-12-07,48,30,46,37,21
2013-12-08 - 2013-12-14,41,26,42,30,23
2013-12-15 - 2013-12-21,39,28,39,33,28
2013-12-22 - 2013-12-28,34,21,32,30,32
2013-12-29 - 2014-01-04,41,29,36,35,42
2014-01-05 - 2014-01-11,43,28,42,32,50
2014-01-12 - 2014-01-18,42,28,44,35,51
2014-01-19 - 2014-01-25,40,25,41,33,44
2014-01-26 - 2014-02-01,42,28,42,31,39
2014-02-02 - 2014-02-08,39,25,39,31,32
2014-02-09 - 2014-02-15,39,24,40,27,28
2014-02-16 - 2014-02-22,40,27,40,34,25
2014-02-23 - 2014-03-01,75,54,60,64,24
