Week,measles,measles vaccine,MMR vaccine,influenza
2013-05-19 - 2013-05-25,26,31,54,10
2013-05-26 - 2013-06-01,23,29,50,10
2013-06-02 - 2013-06-08,24,31,58,8
2013-06-09 - 2013-06-15,28,33,61,9
2013-06-16 - 2013-06-22,25,26,54,8
2013-06-23 - 2013-06-29,21,27,56,8
2013-06-30 - 2013-07-06,21,27,52,6
2013-07-07 - 2013-07-13,20,27,59,7
2013-07-14 - 2013-07-20,23,26,59,8
2013-07-21 - 2013-07-27,29,34,58,7
2013-07-28 - 2013-08-03,20,32,100,7
2013-08-04 - 2013-08-10,19,31,97,7
2013-08-11 - 2013-08-17,30,46,87,8
2013-08-18 - 2013-08-24,57,70,78,9
2013-08-25 - 2013-08-31,81,81,72,12
2013-09-01 - 2013-09-07,46,48,70,14
2013-09-08 - 2013-09-14,52,63,69,16
2013-09-15 - 2013-09-21,37,52,67,18
2013-09-22 - 2013-09-28,31,35,63,20
2013-09-29 - 2013-10-05,27,34,59,20
2013-10-06 - 2013-10-12,23,28,55,21
2013-10-13 - 2013-10-19,24,30,61,22
2013-10-20 - 2013-10-26,25,28,58,21
2013-10-27 - 2013-11-02,24,27,60,21
2013-11-03 - 2013-11-09,25,32,70,19
2013-11-10 - 2013-11-16,25,30,78,21
2013-11-17 - 2013-11-23,25,32,77,21
2013-11-24 - 2013-11-30,21,26,54,15
2013-12-01 - 2013-12-07,31,37,55,21
2013-12-08 - 2013-12-14,30,40,53,23
2013-12-15 - 2013-12-21,20,26,53,28
2013-12-22 - 2013-12-28,16,16,44,33
2013-12-29 - 2014-01-04,16,18,52,42
2014-01-05 - 2014-01-11,23,30,61,50
2014-01-12 - 2014-01-18,22,31,67,52
2014-01-19 - 2014-01-25,25,29,65,44
2014-01-26 - 2014-02-01,26,38,61,40
2014-02-02 - 2014-02-08,35,35,54,32
2014-02-09 - 2014-02-15,62,67,54,27
2014-02-16 - 2014-02-22,41,49,56,25
2014-02-23 - 2014-03-01,69,72,63,24
2014-03-02 - 2014-03-08,56,51,59,20
2014-03-09 - 2014-03-15,82,95,71,18
2014-03-16 - 2014-03-22,71,94,65,17
2014-03-23 - 2014-03-29,71,79,78,19
2014-03-30 - 2014-04-05,100,100,71,18
