Week,whooping cough,whooping,symptoms of whooping cough,pertussis vaccine
2013-06-09 - 2013-06-15,20,22,16,32
2013-06-16 - 2013-06-22,18,21,16,29
2013-06-23 - 2013-06-29,17,21,18,29
2013-06-30 - 2013-07-06,16,18,19,27
2013-07-07 - 2013-07-13,16,18,15,32
2013-07-14 - 2013-07-20,17,19,15,33
2013-07-21 - 2013-07-27,19,20,20,32
2013-07-28 - 2013-08-03,19,21,20,31
2013-08-04 - 2013-08-10,19,22,17,36
2013-08-11 - 2013-08-17,18,21,22,32
2013-08-18 - 2013-08-24,21,23,16,33
2013-08-25 - 2013-08-31,21,25,19,33
2013-09-01 - 2013-09-07,39,41,41,48
2013-09-08 - 2013-09-14,41,44,37,51
2013-09-15 - 2013-09-21,30,33,29,41
2013-09-22 - 2013-09-28,29,32,28,42
2013-09-29 - 2013-10-05,34,37,27,52
2013-10-06 - 2013-10-12,30,33,34,45
2013-10-13 - 2013-10-19,29,32,23,41
2013-10-20 - 2013-10-26,29,31,27,38
2013-10-27 - 2013-11-02,36,41,36,43
2013-11-03 - 2013-11-09,37,41,41,40
2013-11-10 - 2013-11-16,45,49,41,55
2013-11-17 - 2013-11-23,39,43,42,45
2013-11-24 - 2013-11-30,43,48,50,47
2013-12-01 - 2013-12-07,35,38,36,39
2013-12-08 - 2013-12-14,34,37,31,41
2013-12-15 - 2013-12-21,33,35,30,35
2013-12-22 - 2013-12-28,30,33,34,26
2013-12-29 - 2014-01-04,30,36,31,31
2014-01-05 - 2014-01-11,31,34,30,37
2014-01-12 - 2014-01-18,28,32,21,39
2014-01-19 - 2014-01-25,36,40,24,49
2014-01-26 - 2014-02-01,32,36,26,43
2014-02-02 - 2014-02-08,27,32,19,35
2014-02-09 - 2014-02-15,25,30,23,27
2014-02-16 - 2014-02-22,23,28,19,27
2014-02-23 - 2014-03-01,23,27,22,29
