Week,poison oak,lyme disease,lyme,lyme symptoms
2013-06-16 - 2013-06-22,89,89,89,70
2013-06-23 - 2013-06-29,87,96,98,75
2013-06-30 - 2013-07-06,93,89,94,77
2013-07-07 - 2013-07-13,89,99,98,92
2013-07-14 - 2013-07-20,78,85,90,74
2013-07-21 - 2013-07-27,72,78,82,73
2013-07-28 - 2013-08-03,71,73,77,67
2013-08-04 - 2013-08-10,70,71,75,63
2013-08-11 - 2013-08-17,66,67,70,62
2013-08-18 - 2013-08-24,60,100,100,93
2013-08-25 - 2013-08-31,53,67,71,61
2013-09-01 - 2013-09-07,52,59,63,55
2013-09-08 - 2013-09-14,43,56,60,49
2013-09-15 - 2013-09-21,37,51,56,44
2013-09-22 - 2013-09-28,34,48,52,39
2013-09-29 - 2013-10-05,36,47,53,41
2013-10-06 - 2013-10-12,32,54,59,45
2013-10-13 - 2013-10-19,27,52,56,40
2013-10-20 - 2013-10-26,23,50,55,39
2013-10-27 - 2013-11-02,21,46,52,38
2013-11-03 - 2013-11-09,19,55,58,43
2013-11-10 - 2013-11-16,16,66,68,49
2013-11-17 - 2013-11-23,16,56,59,42
2013-11-24 - 2013-11-30,14,38,43,28
2013-12-01 - 2013-12-07,12,39,43,31
2013-12-08 - 2013-12-14,8,36,41,26
2013-12-15 - 2013-12-21,9,38,42,28
2013-12-22 - 2013-12-28,12,34,38,25
2013-12-29 - 2014-01-04,12,32,39,26
2014-01-05 - 2014-01-11,13,31,37,26
2014-01-12 - 2014-01-18,11,31,38,25
2014-01-19 - 2014-01-25,13,30,36,23
2014-01-26 - 2014-02-01,12,31,38,23
2014-02-02 - 2014-02-08,10,30,37,23
2014-02-09 - 2014-02-15,10,37,41,27
2014-02-16 - 2014-02-22,15,37,41,29
2014-02-23 - 2014-03-01,16,35,41,27
