Week,influenza,haemophilus,hepatitis
2013-09-08 - 2013-09-14,16,59,42
2013-09-15 - 2013-09-21,18,63,45
2013-09-22 - 2013-09-28,20,68,45
2013-09-29 - 2013-10-05,21,64,41
2013-10-06 - 2013-10-12,20,62,44
2013-10-13 - 2013-10-19,22,65,43
2013-10-20 - 2013-10-26,22,68,47
2013-10-27 - 2013-11-02,20,68,45
2013-11-03 - 2013-11-09,20,69,47
2013-11-10 - 2013-11-16,20,82,46
2013-11-17 - 2013-11-23,20,71,44
2013-11-24 - 2013-11-30,15,54,37
2013-12-01 - 2013-12-07,21,72,46
2013-12-08 - 2013-12-14,23,65,43
2013-12-15 - 2013-12-21,28,51,39
2013-12-22 - 2013-12-28,32,37,32
2013-12-29 - 2014-01-04,42,48,36
2014-01-05 - 2014-01-11,50,65,42
2014-01-12 - 2014-01-18,51,67,44
2014-01-19 - 2014-01-25,44,63,41
2014-01-26 - 2014-02-01,39,69,42
2014-02-02 - 2014-02-08,32,67,40
2014-02-09 - 2014-02-15,28,61,41
2014-02-16 - 2014-02-22,25,79,40
2014-02-23 - 2014-03-01,24,77,61
