Week,myalgia,listeriosis,listeria monocytogenes,listeria
2013-05-19 - 2013-05-25,70,5,4,1
2013-05-26 - 2013-06-01,72,6,4,1
2013-06-02 - 2013-06-08,76,6,6,3
2013-06-09 - 2013-06-15,73,5,6,3
2013-06-16 - 2013-06-22,80,5,5,1
2013-06-23 - 2013-06-29,72,5,6,1
2013-06-30 - 2013-07-06,66,5,10,1
2013-07-07 - 2013-07-13,76,6,8,1
2013-07-14 - 2013-07-20,76,5,4,1
2013-07-21 - 2013-07-27,83,5,6,2
2013-07-28 - 2013-08-03,72,5,5,1
2013-08-04 - 2013-08-10,73,5,5,1
2013-08-11 - 2013-08-17,72,5,5,2
2013-08-18 - 2013-08-24,73,4,7,1
2013-08-25 - 2013-08-31,79,6,6,4
2013-09-01 - 2013-09-07,81,6,6,2
2013-09-08 - 2013-09-14,87,7,9,2
2013-09-15 - 2013-09-21,96,5,6,2
2013-09-22 - 2013-09-28,80,4,9,5
2013-09-29 - 2013-10-05,87,5,9,4
2013-10-06 - 2013-10-12,90,6,8,2
2013-10-13 - 2013-10-19,88,5,7,2
2013-10-20 - 2013-10-26,97,7,17,2
2013-10-27 - 2013-11-02,85,7,15,1
2013-11-03 - 2013-11-09,84,4,10,1
2013-11-10 - 2013-11-16,93,6,10,1
2013-11-17 - 2013-11-23,77,7,10,1
2013-11-24 - 2013-11-30,64,6,6,1
2013-12-01 - 2013-12-07,81,6,7,1
2013-12-08 - 2013-12-14,75,5,8,1
2013-12-15 - 2013-12-21,62,5,5,1
2013-12-22 - 2013-12-28,51,4,5,1
2013-12-29 - 2014-01-04,56,4,5,2
2014-01-05 - 2014-01-11,70,4,5,1
2014-01-12 - 2014-01-18,78,5,7,1
2014-01-19 - 2014-01-25,73,5,6,2
2014-01-26 - 2014-02-01,86,6,9,2
2014-02-02 - 2014-02-08,84,6,7,
2014-02-09 - 2014-02-15,85,4,7,
2014-02-16 - 2014-02-22,89,6,9,
2014-02-23 - 2014-03-01,86,6,10,listeria
2014-03-02 - 2014-03-08,90,4,8,100
2014-03-09 - 2014-03-15,95,6,12,59
2014-03-16 - 2014-03-22,90,5,10,46
2014-03-23 - 2014-03-29,83,7,12,42
2014-03-30 - 2014-04-05,90,6,10,41
