Week,Date_and_Year,Measles,Q-Fever,Typhoid-Fever,Pertussis,Meningococcal,Listeriosis,Malaria,Lyme,Legionellosis,Hepatitis_A,Hepatitis_B,Hepatitis_C,Haemophilus
21st Week,"ding May 26, 2012",0,0,1,507,6,7,12,124,37,11,16,12,13
22nd Week,"ding June 2, 2012",0,0,2,414,5,6,8,109,37,13,30,10,18
23rd Week,"ding June 9, 2012",0,0,3,487,6,5,10,127,30,10,19,11,27
24th Week,"ing June 16, 2012",0,0,1,483,3,4,6,160,24,15,9,12,27
25th Week,"ing June 23, 2012",0,1,0,187,8,3,13,137,39,6,29,7,18
26th Week,"ing June 30, 2012",0,0,1,399,2,2,13,212,37,10,20,7,20
27th Week,"ding July 7, 2012",1,2,5,374,3,3,15,161,35,7,18,16,14
28th Week,"ing July 14, 2012",0,1,1,368,6,5,18,266,28,17,8,15,22
29th Week,"ing July 21, 2012",0,2,0,469,6,9,13,248,39,10,24,12,21
30th Week,"ing July 28, 2012",0,0,2,455,2,9,10,254,22,11,23,12,22
31st Week,"ng August 4, 2012",0,1,1,394,1,5,12,249,38,8,18,17,22
32nd Week,"g August 11, 2012",0,0,4,437,1,15,12,236,40,11,19,9,24
33rd Week,"g August 18, 2012",0,1,3,334,3,5,10,236,37,8,14,12,22
34th Week,"g August 25, 2012",0,1,1,410,5,13,17,163,68,16,25,21,22
35th Week,"September 1, 2012",0,0,1,413,3,8,19,138,48,15,22,11,17
36th Week,"September 8, 2012",0,0,3,353,1,7,8,101,31,13,13,19,28
37th Week,"eptember 15, 2012",0,5,8,444,4,8,20,156,40,17,21,24,15
38th Week,"eptember 22, 2012",2,2,3,361,3,3,9,173,48,21,20,26,24
39th Week,"eptember 29, 2012",0,2,2,289,2,5,15,161,35,10,26,12,14
40th week,"g October 6, 2012",1,0,4,402,3,11,12,151,39,19,30,15,20
41st Week,"October 13, 2012",0,1,3,324,1,9,10,75,46,10,19,6,19
42nd Week,"October 20, 2012",0,0,2,255,5,7,13,119,45,12,25,12,28
43rd Week,"October 27, 2012",0,0,3,195,2,7,6,95,40,6,24,13,16
44th Week,"November 3, 2012",0,0,2,159,2,2,5,100,30,6,12,17,17
45th Week,"November 10, 2012",0,1,1,221,1,3,6,97,23,12,27,11,23
46th Week,"November 17, 2012",0,0,1,206,5,5,3,75,37,17,17,8,24
47th Week,"November 24, 2012",0,1,0,186,6,2,4,86,24,12,14,6,26
48th Week,"December 1, 2012",0,1,1,262,2,13,14,192,40,12,23,7,38
49th Week,"December 8, 2012",0,0,0,283,3,6,4,119,25,3,22,11,38
50th Week,"December 15, 2012",0,2,0,238,4,7,2,89,14,5,16,18,27
51st Week,"December 22, 2012",0,0,0,202,8,10,8,120,18,21,23,6,31
52nd Week,"December 29, 2012",0,0,2,167,7,3,4,54,15,5,15,7,35
(1st Week,"ng January 5, 201",0,0,0,41,1,3,8,33,9,1,11,2,29
(2nd Week,"g January 12, 201",0,1,0,94,3,2,4,65,16,8,14,4,37
(3rd Week,"g January 19, 201",4,0,0,117,6,3,13,35,19,5,12,5,26
(4th Week,"g January 26, 201",2,0,2,141,7,4,9,30,9,7,20,4,36
(5th Week,"g February 2, 201",3,1,1,130,9,4,13,35,21,18,22,16,53
(6th Week,"g February 9, 201",0,2,0,171,4,0,0,28,0,23,26,15,40
(7th Week,"February 16, 201",0,1,0,160,7,4,7,44,27,13,18,14,36
(8th Week,"February 23, 201",0,0,0,135,7,5,6,42,23,12,32,6,49
(9th Week,"ding March 2, 201",0,0,2,137,7,2,6,61,22,10,19,15,32
10th Week,"ing March 9, 2013",1,3,0,127,3,1,6,25,17,8,10,15,38
11th Week,"ng March 16, 2013",1,1,2,77,5,5,2,20,16,6,8,3,12
12th Week,"ng March 23, 2013",1,0,1,130,9,6,4,31,10,6,22,9,30
13th Week,"ng March 30, 2013",3,1,0,132,8,2,7,36,21,15,18,27,29
14th Week,"ing April 6, 2013",1,0,6,144,8,6,12,50,14,7,24,19,24
15th Week,"ng April 13, 2013",1,0,1,202,6,5,6,57,9,14,20,7,39
16th Week,"ng April 20, 2013",0,1,1,113,12,2,8,47,9,15,23,16,37
17th Week,"ng April 27, 2013",1,0,2,178,7,5,5,56,13,7,21,8,34
18th Week,"nding May 4, 2013",0,0,2,151,4,3,11,89,12,11,21,8,32
19th Week,"ding May 11, 2013",0,2,2,210,5,2,9,69,17,11,34,14,36
20th Week,"ding May 18, 2013",4,0,1,184,4,4,10,73,25,13,15,16,46
21st Week,"ding May 25, 2013",1,2,2,189,4,3,11,63,24,9,27,9,23
22nd Week,"ding June 1, 2013",4,3,5,151,2,5,10,76,30,10,19,17,27
23rd Week,"ding June 8, 2013",6,0,5,196,0,8,7,124,51,14,38,17,39
24th Week,"ing June 15, 2013",0,2,1,145,2,4,6,137,45,11,18,10,17
25th Week,"ing June 22, 2013",2,0,0,154,5,5,13,209,90,7,18,24,27
26th Week,"ing June 29, 2013",0,1,5,115,2,4,8,272,105,10,15,11,40
27th Week,"ding July 6, 2013",1,2,1,183,1,4,9,267,79,10,23,6,19
28th Week,"ing July 13, 2013",0,2,3,217,4,9,17,456,82,12,25,7,28
29th Week,"ing July 20, 2013",2,1,5,223,7,13,19,443,117,17,15,7,24
30th Week,"ing July 27, 2013",2,1,4,246,1,9,17,547,128,11,19,14,25
31st Week,"ng August 3, 2013",0,2,0,237,2,11,19,518,56,13,22,15,18
32nd Week,"g August 10, 2013",0,2,3,220,2,12,8,458,39,15,21,5,25
33rd Week,"g August 17, 2013",1,0,0,310,5,12,7,376,67,15,24,19,31
34th Week,"g August 24, 2013",0,2,2,137,3,10,12,354,64,11,9,3,11
35th Week,"g August 30, 2013",0,2,1,143,3,8,6,292,53,10,4,15,26
36th Week,"September 7, 2013",0,1,4,143,5,5,24,217,49,12,15,6,26
37th Week,"eptember 14, 2013",2,4,1,137,4,10,13,232,41,15,21,7,15
38th Week,"eptember 21, 2013",1,0,2,123,2,9,5,181,28,15,12,15,20
39th Week,"eptember 28, 2013",0,2,2,210,2,10,12,118,36,19,24,27,20
40th Week,"g October 5, 2013",0,0,2,201,4,13,11,323,52,19,30,18,39
41st Week,"October 12, 2013",0,0,2,150,3,9,4,176,47,22,15,8,28
42nd Week,"October 19, 2013",0,1,3,151,2,9,11,148,33,14,18,6,31
43rd Week,"October 26, 2013",0,1,1,271,4,6,9,212,33,17,22,12,24
44th Week,"November 2, 2013",0,4,2,229,2,17,10,250,56,18,19,13,25
45th Week,"November 9, 2013",1,0,4,235,9,7,18,113,27,10,15,16,19
46th Week,"November 16, 2013",0,1,2,213,10,10,7,144,25,7,22,9,21
47th Week,"November 23, 2013",1,1,2,135,5,3,5,156,18,8,12,8,16
48th Week,"November 30, 2013",0,0,3,218,1,3,6,81,21,9,24,26,18
49th Week,"December 7, 2013",0,1,0,273,3,20,12,101,46,13,27,22,41
50th Week,"December 14, 2013",0,0,1,284,2,1,7,110,33,9,22,16,34
51st Week,"December 21, 2013",1,1,0,297,3,11,11,70,39,9,29,17,44
52nd Week,"December 28, 2013",0,1,2,132,4,7,4,56,20,9,15,14,25
(1st Week,"ng January 4, 201",1,0,0,7,10,3,9,7,169,7,9,1,26
(2nd Week,"g January 11, 201",0,0,1,15,16,10,4,8,215,6,15,8,50
(3rd Week,"g January 18, 201",4,0,0,16,21,4,2,8,175,8,21,4,34
(4th Week,"g January 25, 201",0,1,1,5,16,4,6,9,159,7,29,10,23
(5th Week,"g February 1, 201",5,0,4,11,31,3,6,13,186,7,24,16,29
(6th Week,"g February 8, 201",2,0,4,15,32,5,6,6,174,8,24,18,26
(7th Week,"February 15, 201",2,0,2,9,27,5,3,10,206,9,16,12,35
(8th Week,"February 22, 201",1,2,4,5,24,3,5,11,210,12,16,12,29
(9th Week,"ding March 1, 201",3,1,2,17,44,5,10,12,179,8,20,16,25
10th Week,"ing March 8, 2014",10,0,0,25,45,7,6,8,208,9,30,6,30
11th Week,"ng March 15, 2014",5,1,3,18,25,2,2,14,213,8,22,13,21
12th Week,"ng March 22, 2014",4,1,2,6,45,1,1,4,151,9,18,14,34
13th Week,"ng March 29, 2014",9,1,1,50,40,2,6,10,201,10,33,20,33
14th Week,"ing April 5, 2014",1,1,2,20,67,6,6,11,189,5,24,15,35
15th Week,"ng April 12, 2014",2,0,0,37,24,2,4,3,151,6,26,9,17
16th Week,"ng April 19, 2014",0,0,4,46,76,9,0,12,149,9,26,17,31
17th Week,"ng April 26, 2014",14,3,2,41,489,5,4,2,198,7,25,13,25
18th Week,"nding May 3, 2014",20,1,2,24,103,8,8,7,222,16,28,10,26
19th Week,"ding May 10, 2014",27,0,3,31,157,9,6,10,161,14,22,15,33
20th Week,"ding May 17, 2014",28,0,3,66,177,7,6,13,162,10,31,13,33
21st Week,"ding May 24, 2014",87,1,2,41,174,10,1,10,119,15,19,14,33
22nd Week,"ding May 31, 2014",29,0,0,52,178,4,2,11,150,7,26,12,28
23rd Week,"ding June 7, 2014",65,0,4,31,243,5,5,17,157,14,32,12,36
24th Week,"ing June 14, 2014",1,2,5,42,270,2,4,10,103,4,31,8,32
25th Week,"ing June 21, 2014",26,0,2,19,333,7,2,18,112,10,12,11,27
26th Week,"ing June 28, 2014",22,1,3,24,429,11,5,22,94,11,23,10,32
27th Week,"ding July 5, 2014",8,0,2,34,363,8,2,23,89,8,23,17,30
28th Week,"ing July 12, 2014",3,2,4,41,509,12,1,14,79,9,25,25,39
29th Week,"ing July 19, 2014",3,0,2,18,439,2,0,34,64,8,17,17,28
30th Week,"ing July 26, 2014",7,1,2,27,500,7,1,13,75,11,18,14,35
31st Week,"ng August 2, 2014",0,2,4,33,494,14,4,24,71,15,95,22,26
32nd Week,"ng August 9, 2014",0,0,4,45,403,14,3,19,58,15,68,8,30
33rd Week,"g August 16, 2014",1,3,2,57,370,12,3,25,45,12,70,16,31
34th Week,"g August 23, 2014",15,1,5,42,393,8,2,30,52,11,16,16,33
35th Week,"g August 30, 2014",0,0,2,69,324,10,4,25,57,8,23,9,22
36th Week,"September 6, 2014",0,0,1,55,238,11,2,27,72,14,20,8,15
37th Week,"eptember 13, 2014",1,0,4,66,289,16,2,31,82,14,32,4,20
38th Week,"eptember 20, 2014",1,0,5,44,230,5,2,13,79,5,28,11,21
39th Week,"eptember 27, 2014",0,0,1,39,228,4,4,18,110,9,25,16,22
40th Week,"g October 4, 2014",0,1,7,66,194,12,4,22,90,10,23,20,23
41st Week,"October 11, 2014",2,2,5,46,169,7,2,16,91,9,14,6,24
42nd Week,"October 18, 2014",0,2,2,26,157,7,4,12,70,8,27,11,33
43rd Week,"October 25, 2014",1,0,5,29,153,7,3,17,109,10,13,7,24
44th Week,"November 1, 2014",0,0,0,66,140,8,3,14,96,8,15,8,27
45th Week,"November 8, 2014",0,2,2,11,135,11,2,9,82,9,13,19,21
46th Week,"November 15, 2014",0,0,1,22,141,12,5,13,124,11,25,7,19
47th Week,"November 22, 2014",0,1,0,25,230,7,4,5,122,13,16,14,23
48th Week,"November 29, 2014",0,0,1,14,82,13,3,5,101,5,28,29,26
49th Week,"December 6, 2014",0,1,2,26,110,9,2,13,168,12,25,29,34
50th Week,"December 13, 2014",0,2,4,13,176,8,4,7,167,12,13,11,21
51st Week,"December 20, 2014",5,0,3,30,112,6,5,16,177,15,31,20,28
52nd Week,"December 27, 2014",0,0,2,11,51,7,3,2,109,3,7,4,27
